Elora1998						
1	0	-15	0	3.85	4.284	82.43
2	6	-7	0	3.85	6.156	82.95
3	6	-1	0.3	3.85	4.212	84.61
4	0.5	-1	1.1	3.85	3.852	90.94
5	9	-4	1.84	3.85	3.348	91.09
6	8	0	0.08	3.85	6.84	92.39
7	5	4	2.12	3.85	4.5	93.18
8	2	0.5	0.58	3.85	3.168	89.45
9	1	-2	0	3.85	3.744	84.1
10	-2	-2	0.5	3.85	6.444	73.98
11	-8.5	-9	0.04	3.85	4.86	68.4
12	1.5	-13.5	0.14	3.85	5.724	87.39
13	-6.5	-11.5	0.2	3.85	2.052	81.56
14	-6	-12	0.5	3.85	6.876	67.39
15	-8.5	-11.5	0	3.85	7.776	90.52
16	-8	-11.5	0	3.85	6.876	82.81
17	-4.5	-10.5	0.1	3.85	5.22	81.32
18	-2	-8	0.4	3.85	5.112	85.34
19	-1.5	-6	0	3.85	5.94	88.46
20	-2	-9	0	3.85	9.18	89.29
21	-3	-8.5	0	3.85	5.688	82.45
22	-4.5	-10	0.5	3.85	9.036	76.33
23	1	-10.5	0.2	3.85	4.896	88.92
24	-1	-5	0.1	3.85	6.444	83.08
25	-2	-9	0.12	3.85	6.948	78.3
26	-6.5	-10.5	0	3.85	5.292	82.23
27	-1	-11	0	3.85	6.048	85.58
28	1	-8.5	0	3.85	9.972	90.22
29	0	-8	0.52	3.85	4.752	91.66
30	0.5	-2	0	3.85	6.768	83.1
31	0	-7.5	0	3.7	6.912	81.6
32	3.5	-6	0	3.7	10.836	75.58
33	4	-6	0	3.7	8.82	78.93
34	-2	-3.5	0	3.7	8.46	78.17
35	-3	-10.5	0	3.7	8.892	74.7
36	0	-10	0	3.7	9.756	70.62
37	1	-10	0	3.7	11.736	73.72
38	1	-10	0	3.7	12.924	72.81
39	3.5	-10	0	3.7	12.528	74.81
40	5	-11	0	3.7	10.008	76.62
41	6	-8	0	3.7	12.132	82.09
42	5	-5.5	0.12	3.7	6.768	85.97
43	1.5	-0.5	0	3.7	5.04	84.88
44	-2	-5	0	3.7	8.892	71.35
45	-5	-15	0	3.7	13.788	68.56
46	-0.5	-15	0	3.7	9.54	75.98
47	3.5	-9	0.04	3.7	10.836	78.58
48	1.5	-4	0.7	3.7	7.092	89.61
49	1	0	0.44	3.7	7.092	89.63
50	2	0	0	3.7	9.864	86.99
51	3	0	0	3.7	10.584	87.77
52	1	-2	0	3.7	6.984	75.95
53	2	-2	0	3.7	6.12	75.41
54	4	-2.5	0	3.7	12.42	80.92
55	2	-4	0	3.7	10.944	75.91
56	4.5	-3.5	0	3.7	13.572	74.62
57	7	-3.5	0	3.7	14.58	75.69
58	4.5	-2	0	3.7	1.152	78.13
59	9	-3	0.4	3.61	11.16	87.2
60	9	-1	0.06	3.61	13.788	83.66
61	3.1	-1.2	0.02	3.61	6.804	85.3
62	3.6	-1.5	0.18	3.61	7.128	90.82
63	0.9	-2.3	0	3.61	7.776	82.48
64	1.5	-2.4	0	3.61	11.628	73.91
65	1	-4.7	0.02	3.61	11.052	73.5
66	3.5	-3.5	0	3.61	12.78	73.79
67	6.6	-2.7	1.22	3.61	2.736	87.58
68	11.5	-2.6	1.2	3.61	8.208	92.49
69	-7.8	-11.7	0	3.61	17.172	66.93
70	-8.2	-14.9	0.2	3.61	14.076	66.39
71	-5	-15	0	3.61	11.664	61.93
72	-0.1	-12.9	1.4	3.61	17.46	61.32
73	-0.3	-4.9	0	3.61	9.108	71.2
74	-4.3	-10.2	0	3.61	19.908	73.72
75	1.5	-16.3	0	3.61	15.372	72.06
76	3.5	-11.9	0.18	3.61	16.236	74.26
77	3.9	-2.5	1.6	3.61	5.328	91.71
78	3.6	-4.3	0.8	3.61	5.256	95.05
79	-0.7	-3.4	1	3.61	12.672	84.08
80	-2.6	-4.2	1	3.61	9.432	78.34
81	-0.7	-4.7	0	3.61	10.296	74.85
82	0.1	-10	0	3.61	16.056	77.47
83	2.7	-11.2	0	3.61	17.136	73.43
84	8.7	-5.3	0.12	3.61	17.928	73.02
85	17.3	3.2	0	3.61	15.552	83.7
86	21.6	13	0	3.61	13.212	77.5
87	21.2	9.3	0.86	3.61	11.628	75.16
88	17.9	7.1	0	3.61	18.9	80.8
89	24	8	0	3.61	16.092	80.03
90	23.5	14	0.46	3.6	10.836	78.16
91	16.7	3.6	0.3	3.6	15.876	79.79
