Year,DOY,date,Plot,rotation,Conc,inhibit
2021,1,1/1/2021,P1,Conventional,-1.511428,without NUI
2021,1,1/1/2021,P2,Conventional,0.192421,with NUI
2021,1,1/1/2021,P3,Diverse,-2.064722,without NUI
2021,1,1/1/2021,P4,Diverse,-3.991274,with NUI
2021,2,2/1/2021,P1,Conventional,-5.619189,without NUI
2021,2,2/1/2021,P2,Conventional,-0.125976,with NUI
2021,2,2/1/2021,P3,Diverse,4.883241,without NUI
2021,2,2/1/2021,P4,Diverse,-2.166725,with NUI
2021,3,3/1/2021,P1,Conventional,-1.52125,without NUI
2021,3,3/1/2021,P2,Conventional,-0.444373,with NUI
2021,3,3/1/2021,P3,Diverse,11.831204,without NUI
2021,3,3/1/2021,P4,Diverse,-0.342176,with NUI
2021,4,4/1/2021,P1,Conventional,2.576689,without NUI
2021,4,4/1/2021,P2,Conventional,-0.76277,with NUI
2021,4,4/1/2021,P3,Diverse,3.685616,without NUI
2021,4,4/1/2021,P4,Diverse,-1.922867,with NUI
2021,5,5/1/2021,P1,Conventional,-3.677122,without NUI
2021,5,5/1/2021,P2,Conventional,-2.52006,with NUI
2021,5,5/1/2021,P3,Diverse,-0.507353,without NUI
2021,5,5/1/2021,P4,Diverse,-1.110944,with NUI
2021,6,6/1/2021,P1,Conventional,0.654151,without NUI
2021,6,6/1/2021,P2,Conventional,-4.461015,with NUI
2021,6,6/1/2021,P3,Diverse,0.51865,without NUI
2021,6,6/1/2021,P4,Diverse,-2.352649,with NUI
2021,7,7/1/2021,P1,Conventional,3.647228,without NUI
2021,7,7/1/2021,P2,Conventional,-0.68433,with NUI
2021,7,7/1/2021,P3,Diverse,0.105784,without NUI
2021,7,7/1/2021,P4,Diverse,2.793454,with NUI
2021,8,8/1/2021,P1,Conventional,3.250408,without NUI
2021,8,8/1/2021,P2,Conventional,3.994914,with NUI
2021,8,8/1/2021,P3,Diverse,2.570114,without NUI
2021,8,8/1/2021,P4,Diverse,1.518072,with NUI
2021,9,9/1/2021,P1,Conventional,1.182996,without NUI
2021,9,9/1/2021,P2,Conventional,4.346542,with NUI
2021,9,9/1/2021,P3,Diverse,0.519604,without NUI
2021,9,9/1/2021,P4,Diverse,1.087743,with NUI
2021,10,10/1/2021,P1,Conventional,-0.581133,without NUI
2021,10,10/1/2021,P2,Conventional,-1.644354,with NUI
2021,10,10/1/2021,P3,Diverse,-1.862242,without NUI
2021,10,10/1/2021,P4,Diverse,-1.142537,with NUI
2021,11,11/1/2021,P1,Conventional,0.89097,without NUI
2021,11,11/1/2021,P2,Conventional,-1.397605,with NUI
2021,11,11/1/2021,P3,Diverse,-1.808128,without NUI
2021,11,11/1/2021,P4,Diverse,-3.896577,with NUI
2021,12,12/1/2021,P1,Conventional,-1.171244,without NUI
2021,12,12/1/2021,P2,Conventional,-2.738258,with NUI
2021,12,12/1/2021,P3,Diverse,-0.4688,without NUI
