date,Year,DOY,Plot,rotation,N2O_(g_N/ha/d)
5/1/2018,2018,121,P1,Conventional,4.76426189
5/1/2018,2018,121,P2,Conventional,8.58424781
5/1/2018,2018,121,P3,Diverse,4.18854326
5/1/2018,2018,121,P4,Diverse,4.33942877
5/2/2018,2018,122,P1,Conventional,8.63608435
5/2/2018,2018,122,P2,Conventional,7.08433862
5/2/2018,2018,122,P3,Diverse,4.55450083
5/2/2018,2018,122,P4,Diverse,12.47909328
5/3/2018,2018,123,P1,Conventional,4.49057002
5/3/2018,2018,123,P2,Conventional,5.18721408
5/3/2018,2018,123,P3,Diverse,3.39976397
5/3/2018,2018,123,P4,Diverse,3.69520099
5/4/2018,2018,124,P1,Conventional,2.46803933
5/4/2018,2018,124,P2,Conventional,-1.44765619
5/4/2018,2018,124,P3,Diverse,6.7284337
5/4/2018,2018,124,P4,Diverse,5.08965466
5/5/2018,2018,125,P1,Conventional,5.54689555
5/5/2018,2018,125,P2,Conventional,12.27147235
5/5/2018,2018,125,P3,Diverse,7.67576477
5/5/2018,2018,125,P4,Diverse,0.32543078
5/6/2018,2018,126,P1,Conventional,4.07976048
5/6/2018,2018,126,P2,Conventional,3.67255469
5/6/2018,2018,126,P3,Diverse,4.46343091
5/6/2018,2018,126,P4,Diverse,3.11562806
5/7/2018,2018,127,P1,Conventional,4.25811773
5/7/2018,2018,127,P2,Conventional,-0.0099913
5/7/2018,2018,127,P3,Diverse,4.68101894
5/7/2018,2018,127,P4,Diverse,2.85299712
5/8/2018,2018,128,P1,Conventional,-0.99034618
5/8/2018,2018,128,P2,Conventional,1.81196006
5/8/2018,2018,128,P3,Diverse,9.41495702
5/8/2018,2018,128,P4,Diverse,-0.49408099
5/9/2018,2018,129,P1,Conventional,-0.60089904
5/9/2018,2018,129,P2,Conventional,6.94578758
5/9/2018,2018,129,P3,Diverse,7.57535155
5/9/2018,2018,129,P4,Diverse,7.09955453
5/10/2018,2018,130,P1,Conventional,2.9657975
5/10/2018,2018,130,P2,Conventional,2.01958963
5/10/2018,2018,130,P3,Diverse,5.78212214
5/10/2018,2018,130,P4,Diverse,2.17834877
5/11/2018,2018,131,P1,Conventional,0.6598463
5/11/2018,2018,131,P2,Conventional,1.5097104
5/11/2018,2018,131,P3,Diverse,2.36556893
5/11/2018,2018,131,P4,Diverse,0.49144147
5/12/2018,2018,132,P1,Conventional,6.12790099
5/12/2018,2018,132,P2,Conventional,3.44888237
5/12/2018,2018,132,P3,Diverse,8.22779338
5/12/2018,2018,132,P4,Diverse,0.13554432
5/13/2018,2018,133,P1,Conventional,0.60106666
5/13/2018,2018,133,P2,Conventional,2.59858368
5/13/2018,2018,133,P3,Diverse,6.78182976
5/13/2018,2018,133,P4,Diverse,6.57722592
5/14/2018,2018,134,P1,Conventional,NA
5/14/2018,2018,134,P2,Conventional,0.32122224
5/14/2018,2018,134,P3,Diverse,-0.66927168
5/14/2018,2018,134,P4,Diverse,9.28094544
5/15/2018,2018,135,P1,Conventional,NA
5/15/2018,2018,135,P2,Conventional,NA
5/15/2018,2018,135,P3,Diverse,NA
5/15/2018,2018,135,P4,Diverse,NA
5/16/2018,2018,136,P1,Conventional,NA
5/16/2018,2018,136,P2,Conventional,NA
5/16/2018,2018,136,P3,Diverse,NA
5/16/2018,2018,136,P4,Diverse,NA
5/17/2018,2018,137,P1,Conventional,NA
5/17/2018,2018,137,P2,Conventional,NA
5/17/2018,2018,137,P3,Diverse,NA
5/17/2018,2018,137,P4,Diverse,NA
5/18/2018,2018,138,P1,Conventional,9.86655082
5/18/2018,2018,138,P2,Conventional,2.47659552
5/18/2018,2018,138,P3,Diverse,2.84709341
5/18/2018,2018,138,P4,Diverse,1.79382643
5/19/2018,2018,139,P1,Conventional,8.31064234
5/19/2018,2018,139,P2,Conventional,9.36584294
5/19/2018,2018,139,P3,Diverse,1.92970598
5/19/2018,2018,139,P4,Diverse,7.49444141
5/20/2018,2018,140,P1,Conventional,5.56022016
5/20/2018,2018,140,P2,Conventional,17.60891184
5/20/2018,2018,140,P3,Diverse,9.4982233
5/20/2018,2018,140,P4,Diverse,17.53825651
5/21/2018,2018,141,P1,Conventional,13.61766557
5/21/2018,2018,141,P2,Conventional,25.12579392
5/21/2018,2018,141,P3,Diverse,20.88272362
5/21/2018,2018,141,P4,Diverse,26.21059344
5/22/2018,2018,142,P1,Conventional,12.10206355
5/22/2018,2018,142,P2,Conventional,22.31094067
5/22/2018,2018,142,P3,Diverse,12.74134752
5/22/2018,2018,142,P4,Diverse,19.03288579
5/23/2018,2018,143,P1,Conventional,21.13201094
5/23/2018,2018,143,P2,Conventional,52.89231917
5/23/2018,2018,143,P3,Diverse,31.16869286
5/23/2018,2018,143,P4,Diverse,53.06718586
5/24/2018,2018,144,P1,Conventional,25.21991376
5/24/2018,2018,144,P2,Conventional,77.77702512
5/24/2018,2018,144,P3,Diverse,41.59452816
5/24/2018,2018,144,P4,Diverse,70.70656838
5/25/2018,2018,145,P1,Conventional,32.94717725
5/25/2018,2018,145,P2,Conventional,78.9624409
5/25/2018,2018,145,P3,Diverse,56.06055274
5/25/2018,2018,145,P4,Diverse,74.93658797
5/26/2018,2018,146,P1,Conventional,48.52144858
5/26/2018,2018,146,P2,Conventional,57.49187242
5/26/2018,2018,146,P3,Diverse,78.51072442
5/26/2018,2018,146,P4,Diverse,91.9709113
5/27/2018,2018,147,P1,Conventional,44.42323133
5/27/2018,2018,147,P2,Conventional,46.61389296
5/27/2018,2018,147,P3,Diverse,52.19777549
5/27/2018,2018,147,P4,Diverse,87.00437578
5/28/2018,2018,148,P1,Conventional,29.77353331
5/28/2018,2018,148,P2,Conventional,66.95842579
5/28/2018,2018,148,P3,Diverse,56.12192611
5/28/2018,2018,148,P4,Diverse,80.87432256
5/29/2018,2018,149,P1,Conventional,40.84977658
5/29/2018,2018,149,P2,Conventional,33.27613229
5/29/2018,2018,149,P3,Diverse,42.79577069
5/29/2018,2018,149,P4,Diverse,47.53224634
5/30/2018,2018,150,P1,Conventional,25.72016544
5/30/2018,2018,150,P2,Conventional,21.89698963
5/30/2018,2018,150,P3,Diverse,27.47160662
5/30/2018,2018,150,P4,Diverse,34.51423392
5/31/2018,2018,151,P1,Conventional,16.8896975
5/31/2018,2018,151,P2,Conventional,20.35776499
5/31/2018,2018,151,P3,Diverse,22.40956454
5/31/2018,2018,151,P4,Diverse,43.2320328
6/1/2018,2018,152,P1,Conventional,38.18122531
6/1/2018,2018,152,P2,Conventional,64.54460506
6/1/2018,2018,152,P3,Diverse,32.0072809
6/1/2018,2018,152,P4,Diverse,45.73159776
6/2/2018,2018,153,P1,Conventional,20.22391843
6/2/2018,2018,153,P2,Conventional,19.07862163
6/2/2018,2018,153,P3,Diverse,15.78445056
6/2/2018,2018,153,P4,Diverse,40.54164394
6/3/2018,2018,154,P1,Conventional,11.05098509
6/3/2018,2018,154,P2,Conventional,20.89753949
6/3/2018,2018,154,P3,Diverse,16.48464653
6/3/2018,2018,154,P4,Diverse,19.33747344
6/4/2018,2018,155,P1,Conventional,28.31385197
6/4/2018,2018,155,P2,Conventional,77.86694765
6/4/2018,2018,155,P3,Diverse,45.84060173
6/4/2018,2018,155,P4,Diverse,81.54810346
6/5/2018,2018,156,P1,Conventional,10.10981261
6/5/2018,2018,156,P2,Conventional,38.13526656
6/5/2018,2018,156,P3,Diverse,25.05297082
6/5/2018,2018,156,P4,Diverse,39.39674371
6/6/2018,2018,157,P1,Conventional,14.76605117
6/6/2018,2018,157,P2,Conventional,25.30105632
6/6/2018,2018,157,P3,Diverse,16.61024016
6/6/2018,2018,157,P4,Diverse,30.38165971
6/7/2018,2018,158,P1,Conventional,15.34067338
6/7/2018,2018,158,P2,Conventional,29.50445866
6/7/2018,2018,158,P3,Diverse,13.28654621
6/7/2018,2018,158,P4,Diverse,31.91166979
6/8/2018,2018,159,P1,Conventional,12.66167203
6/8/2018,2018,159,P2,Conventional,28.5245712
6/8/2018,2018,159,P3,Diverse,19.16590723
6/8/2018,2018,159,P4,Diverse,96.70520534
6/9/2018,2018,160,P1,Conventional,10.47835872
6/9/2018,2018,160,P2,Conventional,14.37142867
6/9/2018,2018,160,P3,Diverse,16.70723885
6/9/2018,2018,160,P4,Diverse,16.44236582
6/10/2018,2018,161,P1,Conventional,9.97036214
6/10/2018,2018,161,P2,Conventional,10.39983149
6/10/2018,2018,161,P3,Diverse,9.5967815
6/10/2018,2018,161,P4,Diverse,14.61572986
6/11/2018,2018,162,P1,Conventional,8.2986863
6/11/2018,2018,162,P2,Conventional,12.14775446
6/11/2018,2018,162,P3,Diverse,11.34659491
6/11/2018,2018,162,P4,Diverse,11.00584282
6/12/2018,2018,163,P1,Conventional,8.48110176
6/12/2018,2018,163,P2,Conventional,4.39246973
6/12/2018,2018,163,P3,Diverse,8.36332128
6/12/2018,2018,163,P4,Diverse,12.63605184
6/13/2018,2018,164,P1,Conventional,4.78559923
6/13/2018,2018,164,P2,Conventional,8.87742288
6/13/2018,2018,164,P3,Diverse,4.74957389
6/13/2018,2018,164,P4,Diverse,7.51703501
6/14/2018,2018,165,P1,Conventional,4.07323123
6/14/2018,2018,165,P2,Conventional,6.80322586
6/14/2018,2018,165,P3,Diverse,-1.32370502
6/14/2018,2018,165,P4,Diverse,1.01117203
6/15/2018,2018,166,P1,Conventional,5.66022298
6/15/2018,2018,166,P2,Conventional,8.28465667
6/15/2018,2018,166,P3,Diverse,10.51494394
6/15/2018,2018,166,P4,Diverse,3.72314794
6/16/2018,2018,167,P1,Conventional,4.5595008
6/16/2018,2018,167,P2,Conventional,3.81778877
6/16/2018,2018,167,P3,Diverse,5.90179392
6/16/2018,2018,167,P4,Diverse,3.57608822
6/17/2018,2018,168,P1,Conventional,4.96207642
6/17/2018,2018,168,P2,Conventional,3.60269856
6/17/2018,2018,168,P3,Diverse,4.5597816
6/17/2018,2018,168,P4,Diverse,3.71625062
6/18/2018,2018,169,P1,Conventional,0.20308752
6/18/2018,2018,169,P2,Conventional,7.8696481
6/18/2018,2018,169,P3,Diverse,7.21093018
6/18/2018,2018,169,P4,Diverse,3.64750387
6/19/2018,2018,170,P1,Conventional,3.52067299
6/19/2018,2018,170,P2,Conventional,4.85666582
6/19/2018,2018,170,P3,Diverse,1.62452995
6/19/2018,2018,170,P4,Diverse,2.50657891
6/20/2018,2018,171,P1,Conventional,NA
6/20/2018,2018,171,P2,Conventional,4.53926074
6/20/2018,2018,171,P3,Diverse,3.28409165
6/20/2018,2018,171,P4,Diverse,5.1527975
6/21/2018,2018,172,P1,Conventional,NA
6/21/2018,2018,172,P2,Conventional,5.49402826
6/21/2018,2018,172,P3,Diverse,NA
6/21/2018,2018,172,P4,Diverse,NA
6/22/2018,2018,173,P1,Conventional,NA
6/22/2018,2018,173,P2,Conventional,5.74451654
6/22/2018,2018,173,P3,Diverse,NA
6/22/2018,2018,173,P4,Diverse,NA
6/23/2018,2018,174,P1,Conventional,NA
6/23/2018,2018,174,P2,Conventional,8.96690131
6/23/2018,2018,174,P3,Diverse,NA
6/23/2018,2018,174,P4,Diverse,NA
6/24/2018,2018,175,P1,Conventional,NA
6/24/2018,2018,175,P2,Conventional,NA
6/24/2018,2018,175,P3,Diverse,NA
6/24/2018,2018,175,P4,Diverse,NA
6/25/2018,2018,176,P1,Conventional,NA
6/25/2018,2018,176,P2,Conventional,NA
6/25/2018,2018,176,P3,Diverse,NA
6/25/2018,2018,176,P4,Diverse,NA
6/26/2018,2018,177,P1,Conventional,NA
6/26/2018,2018,177,P2,Conventional,NA
6/26/2018,2018,177,P3,Diverse,NA
6/26/2018,2018,177,P4,Diverse,NA
6/27/2018,2018,178,P1,Conventional,NA
6/27/2018,2018,178,P2,Conventional,NA
6/27/2018,2018,178,P3,Diverse,NA
6/27/2018,2018,178,P4,Diverse,NA
6/28/2018,2018,179,P1,Conventional,37.29499891
6/28/2018,2018,179,P2,Conventional,18.87106205
6/28/2018,2018,179,P3,Diverse,30.02301072
6/28/2018,2018,179,P4,Diverse,16.75400026
6/29/2018,2018,180,P1,Conventional,15.8459855
6/29/2018,2018,180,P2,Conventional,14.15334298
6/29/2018,2018,180,P3,Diverse,15.6320807
6/29/2018,2018,180,P4,Diverse,17.06181235
6/30/2018,2018,181,P1,Conventional,14.34512506
6/30/2018,2018,181,P2,Conventional,17.33096131
6/30/2018,2018,181,P3,Diverse,8.78813798
6/30/2018,2018,181,P4,Diverse,15.4178856
7/1/2018,2018,182,P1,Conventional,10.82831846
7/1/2018,2018,182,P2,Conventional,12.35562163
7/1/2018,2018,182,P3,Diverse,10.69047418
7/1/2018,2018,182,P4,Diverse,17.73085248
7/2/2018,2018,183,P1,Conventional,10.17292176
7/2/2018,2018,183,P2,Conventional,3.90141706
7/2/2018,2018,183,P3,Diverse,9.1170049
7/2/2018,2018,183,P4,Diverse,4.06142986
7/3/2018,2018,184,P1,Conventional,NA
7/3/2018,2018,184,P2,Conventional,NA
7/3/2018,2018,184,P3,Diverse,NA
7/3/2018,2018,184,P4,Diverse,NA
7/4/2018,2018,185,P1,Conventional,NA
7/4/2018,2018,185,P2,Conventional,NA
7/4/2018,2018,185,P3,Diverse,NA
7/4/2018,2018,185,P4,Diverse,NA
7/5/2018,2018,186,P1,Conventional,NA
7/5/2018,2018,186,P2,Conventional,NA
7/5/2018,2018,186,P3,Diverse,NA
7/5/2018,2018,186,P4,Diverse,NA
7/6/2018,2018,187,P1,Conventional,54.20979734
7/6/2018,2018,187,P2,Conventional,43.92652464
7/6/2018,2018,187,P3,Diverse,16.45294378
7/6/2018,2018,187,P4,Diverse,-2.96263699
7/7/2018,2018,188,P1,Conventional,6.49905898
7/7/2018,2018,188,P2,Conventional,8.79967325
7/7/2018,2018,188,P3,Diverse,10.87273325
7/7/2018,2018,188,P4,Diverse,8.26912973
7/8/2018,2018,189,P1,Conventional,-3.42314294
7/8/2018,2018,189,P2,Conventional,17.46354125
7/8/2018,2018,189,P3,Diverse,3.23477971
7/8/2018,2018,189,P4,Diverse,-1.0976809
7/9/2018,2018,190,P1,Conventional,2.20185648
7/9/2018,2018,190,P2,Conventional,-2.06880912
7/9/2018,2018,190,P3,Diverse,4.28188032
7/9/2018,2018,190,P4,Diverse,12.89468074
7/10/2018,2018,191,P1,Conventional,0.40267411
7/10/2018,2018,191,P2,Conventional,-3.21189926
7/10/2018,2018,191,P3,Diverse,0.93918614
7/10/2018,2018,191,P4,Diverse,-0.28618963
7/11/2018,2018,192,P1,Conventional,12.58608931
7/11/2018,2018,192,P2,Conventional,8.48980138
7/11/2018,2018,192,P3,Diverse,6.31687248
7/11/2018,2018,192,P4,Diverse,-6.58126944
7/12/2018,2018,193,P1,Conventional,16.16175418
7/12/2018,2018,193,P2,Conventional,47.4612791
7/12/2018,2018,193,P3,Diverse,0.95578186
7/12/2018,2018,193,P4,Diverse,40.30438522
7/13/2018,2018,194,P1,Conventional,5.16591734
7/13/2018,2018,194,P2,Conventional,-13.63148093
7/13/2018,2018,194,P3,Diverse,-28.2906527
7/13/2018,2018,194,P4,Diverse,-7.86916771
7/14/2018,2018,195,P1,Conventional,-2.73117053
7/14/2018,2018,195,P2,Conventional,-17.15287363
7/14/2018,2018,195,P3,Diverse,-20.41081027
7/14/2018,2018,195,P4,Diverse,-26.44892698
7/15/2018,2018,196,P1,Conventional,0.01353456
7/15/2018,2018,196,P2,Conventional,13.04483443
7/15/2018,2018,196,P3,Diverse,1.80250358
7/15/2018,2018,196,P4,Diverse,-0.05057165
7/16/2018,2018,197,P1,Conventional,0.60782486
7/16/2018,2018,197,P2,Conventional,-5.06815661
7/16/2018,2018,197,P3,Diverse,-21.79907683
7/16/2018,2018,197,P4,Diverse,NA
7/17/2018,2018,198,P1,Conventional,-12.10755341
7/17/2018,2018,198,P2,Conventional,-7.55721187
7/17/2018,2018,198,P3,Diverse,-15.48855907
7/17/2018,2018,198,P4,Diverse,NA
7/18/2018,2018,199,P1,Conventional,2.83911782
7/18/2018,2018,199,P2,Conventional,-15.52747018
7/18/2018,2018,199,P3,Diverse,-24.22274976
7/18/2018,2018,199,P4,Diverse,4.83082272
7/19/2018,2018,200,P1,Conventional,1.39674326
7/19/2018,2018,200,P2,Conventional,9.05088038
7/19/2018,2018,200,P3,Diverse,-6.74994298
7/19/2018,2018,200,P4,Diverse,2.09533046
7/20/2018,2018,201,P1,Conventional,26.05100659
7/20/2018,2018,201,P2,Conventional,3.00904762
7/20/2018,2018,201,P3,Diverse,-5.59903363
7/20/2018,2018,201,P4,Diverse,14.0654232
7/21/2018,2018,202,P1,Conventional,14.38132579
7/21/2018,2018,202,P2,Conventional,16.24349981
7/21/2018,2018,202,P3,Diverse,0.02818714
7/21/2018,2018,202,P4,Diverse,11.66327424
7/22/2018,2018,203,P1,Conventional,0.25750138
7/22/2018,2018,203,P2,Conventional,9.17420083
7/22/2018,2018,203,P3,Diverse,23.91979853
7/22/2018,2018,203,P4,Diverse,4.93472822
7/23/2018,2018,204,P1,Conventional,-10.2880057
7/23/2018,2018,204,P2,Conventional,8.50366512
7/23/2018,2018,204,P3,Diverse,26.39787322
7/23/2018,2018,204,P4,Diverse,8.2212624
7/24/2018,2018,205,P1,Conventional,7.00514352
7/24/2018,2018,205,P2,Conventional,-4.05948154
7/24/2018,2018,205,P3,Diverse,-13.83369062
7/24/2018,2018,205,P4,Diverse,-10.14873322
7/25/2018,2018,206,P1,Conventional,2.86352842
7/25/2018,2018,206,P2,Conventional,-1.78900963
7/25/2018,2018,206,P3,Diverse,-7.18300915
7/25/2018,2018,206,P4,Diverse,-2.82309322
