%ERS4 N2O fluxes for plot 3 year 2022
% Year, Date, Plot,N2O flux, flux_l, grad, K, u*, cup1, H, Ts,int_z_l,int_z_u,d, z0, fetch_intake_big,fetch_intake_small,BL, Filter, TGA_F,u* info
% , doy, ,ng N2O-N/(m2s), ng N2O-N/(m2s), ng/m3, m2/s, m/s,m/s, W/m2,oC,m,m,m,m,m,m, , ,
2022.000000,1.062500,3.000000,NaN,NaN,NaN,0.048613,0.189723,2.240000,-7.863976,276.627679,0.620000,1.120000,0.144720,0.015120,110.150332,110.150332,31.433862,% tga filt,,%      
2022.000000,1.145833,3.000000,NaN,NaN,NaN,0.012474,0.055104,0.783000,-1.002836,276.580577,0.620000,1.120000,0.144720,0.015120,109.676689,109.676689,31.433862,% tga filt,,%      
2022.000000,1.229167,3.000000,NaN,NaN,NaN,0.022374,0.080413,0.619000,-0.257023,276.236530,0.620000,1.120000,0.144720,0.015120,96.439025,96.439025,31.433862,% tga filt,,%      
2022.000000,1.312500,3.000000,NaN,NaN,NaN,0.053626,0.192736,1.896000,-0.779490,277.335583,0.620000,1.120000,0.144720,0.015120,127.235862,127.235862,31.433862,% tga filt,,%      
2022.000000,1.395833,3.000000,10.097353,10.097353,61.969665,0.081470,0.292812,3.194000,7.537436,276.606439,0.620000,1.120000,0.144720,0.015120,118.405418,118.405418,31.433862,%         ,,%      
2022.000000,1.479167,3.000000,0.878575,0.878575,4.658279,0.094303,0.338933,3.973000,14.623260,274.774332,0.620000,1.120000,0.144720,0.015120,126.530936,126.530936,31.433862,%         ,,%      
2022.000000,1.562500,3.000000,2.887128,2.887128,16.911845,0.085358,0.306786,3.415000,10.611380,274.485272,0.620000,1.120000,0.144720,0.015120,123.117552,123.117552,31.433862,%         ,,%      
2022.000000,1.645833,3.000000,-2.888827,-2.888827,-15.451611,0.093480,0.335976,3.704000,3.668051,273.555729,0.620000,1.120000,0.144720,0.015120,131.695491,131.695491,31.433862,%         ,,%      
2022.000000,1.729167,3.000000,2.805846,2.805846,18.183501,0.077154,0.277298,2.866000,-0.568910,273.152324,0.620000,1.120000,0.144720,0.015120,111.569655,111.569655,31.433862,%         ,,%      
2022.000000,1.812500,3.000000,NaN,29.272435,108.343598,0.135091,0.485530,4.039000,16.920560,271.777876,0.620000,1.120000,0.144720,0.015120,112.232418,112.232418,31.433862,%         ,,% opposite plot u*
2022.000000,1.895833,3.000000,NaN,NaN,5.869919,NaN,NaN,4.353000,NaN,270.205414,0.620000,1.120000,0.144720,0.015120,111.461656,111.461656,31.433862,% low winds,,%      
2022.000000,1.979167,3.000000,-5.011490,-5.011490,-23.355440,0.107287,0.385602,4.397000,1.795422,269.464865,0.620000,1.120000,0.144720,0.015120,116.678559,116.678559,31.433862,%         ,,%      
2022.000000,2.062500,3.000000,6.943925,6.943925,38.126076,0.091065,0.327298,4.012000,0.823655,269.245808,0.620000,1.120000,0.144720,0.015120,112.178039,112.178039,31.433862,%         ,,%      
2022.000000,2.145833,3.000000,1.654645,1.654645,8.865982,0.093314,0.335381,4.072000,5.582107,268.618766,0.620000,1.120000,0.144720,0.015120,111.666621,111.666621,31.433862,%         ,,%      
