year,date_jul,date,plot,rotation,nh4_kg_n_ha,no3_kg_n_ha,,plot_old
2018,199,18/07/2018,P1,Conventional,1.628456594,38.84323656,,
2018,199,18/07/2018,P2,Conventional,1.86754157,48.34705857,,
2018,199,18/07/2018,P3,Diverse,1.85858678,57.17470441,,
2018,199,18/07/2018,P4,Diverse,1.572689502,64.76979455,,
2018,227,15/08/2018,P1,Conventional,1.794770924,27.41413125,,
2018,227,15/08/2018,P2,Conventional,2.084203591,32.46962289,,
2018,227,15/08/2018,P3,Diverse,2.065017926,38.92884516,,
2018,227,15/08/2018,P4,Diverse,2.159877976,32.68737923,,
2018,292,19/10/2018,P1,Conventional,3.978730033,18.42068132,,
2018,292,19/10/2018,P2,Conventional,3.488456199,17.92811201,,
2018,292,19/10/2018,P3,Diverse,3.663271404,20.10019941,,
2018,292,19/10/2018,P4,Diverse,3.522057296,18.34023692,,
2018,304,31/10/2018,P1,Conventional,3.121214601,13.73008763,,
2018,304,31/10/2018,P2,Conventional,3.260847907,11.20629805,,
2018,304,31/10/2018,P3,Diverse,2.593453921,14.85692533,,
2018,304,31/10/2018,P4,Diverse,3.449467062,12.16190155,,
2019,94,4/4/2019,P1,Conventional,2.263699169,9.039493937,,
2019,94,4/4/2019,P2,Conventional,3.033239615,4.484484094,,
2019,94,4/4/2019,P3,Diverse,1.523636439,9.613651252,,
2019,94,4/4/2019,P4,Diverse,3.376876828,5.983566178,,
2019,120,30/04/2019,P1,Conventional,2.278167418,12.64230856,,
2019,120,30/04/2019,P2,Conventional,2.546792183,9.257045617,,
2019,120,30/04/2019,P3,Diverse,1.787526587,12.16717961,,
2019,120,30/04/2019,P4,Diverse,2.631001018,11.41057637,,
2019,144,24/05/2019,P1,Conventional,2.292635667,16.24512318,,
2019,144,24/05/2019,P2,Conventional,2.060344751,14.02960714,,
2019,144,24/05/2019,P3,Diverse,2.051416734,14.72070797,,
2019,144,24/05/2019,P4,Diverse,1.885125208,16.83758656,,
2019,155,4/6/2019,P1,Conventional,3.569713782,25.61596279,,
2019,155,4/6/2019,P2,Conventional,2.821057577,25.81192461,,
2019,155,4/6/2019,P3,Diverse,3.290250051,26.91898059,,
2019,155,4/6/2019,P4,Diverse,3.139542577,29.07235868,,
2019,178,27/06/2019,P1,Conventional,1.969458865,26.34797379,,
2019,178,27/06/2019,P2,Conventional,1.960407527,33.38032618,,
2019,178,27/06/2019,P3,Diverse,2.271609168,33.88162261,,
2019,178,27/06/2019,P4,Diverse,2.293417609,32.93686157,,
2019,203,22/07/2019,P1,Conventional,3.869633729,28.56947947,,
2019,203,22/07/2019,P2,Conventional,2.48978459,28.07423252,,
2019,203,22/07/2019,P3,Diverse,2.332791823,27.99235785,,
2019,203,22/07/2019,P4,Diverse,2.461999172,27.56754424,,
2019,234,22/08/2019,P1,Conventional,5.026309949,2.94994615,,
2019,234,22/08/2019,P2,Conventional,4.721912805,1.850526028,,
2019,234,22/08/2019,P3,Diverse,5.463879991,1.378548434,,
2019,234,22/08/2019,P4,Diverse,5.092483833,5.867401553,,
2019,273,30/09/2019,P1,Conventional,3.332552607,23.56658125,,
2019,273,30/09/2019,P2,Conventional,3.615153775,25.60187637,,
2019,273,30/09/2019,P3,Diverse,3.079370301,22.122218,,
2019,273,30/09/2019,P4,Diverse,4.711464339,29.59281835,,
2019,304,31/10/2019,P1,Conventional,2.137053094,13.14976405,,
2019,304,31/10/2019,P2,Conventional,2.226208528,16.20728963,,
2019,304,31/10/2019,P3,Diverse,3.343096944,14.32407278,,
2019,304,31/10/2019,P4,Diverse,2.330082307,17.19871585,,
2020,91,31/03/2020,P1,Conventional,4.285958226,16.49315154,,
2020,91,31/03/2020,P2,Conventional,4.007830305,18.03995659,,
2020,91,31/03/2020,P3,Diverse,10.5370402,22.58862154,,
2020,91,31/03/2020,P4,Diverse,8.824329079,25.39116199,,
2020,121,30/04/2020,P1,Conventional,6.434863359,19.83653904,,
2020,121,30/04/2020,P2,Conventional,5.789452083,19.87262355,,
2020,121,30/04/2020,P3,Diverse,17.73098346,30.85317031,,
2020,121,30/04/2020,P4,Diverse,15.31857585,33.58360814,,
2020,147,26/05/2020,P1,Conventional,5.294869428,18.97931415,,
2020,147,26/05/2020,P2,Conventional,5.96992321,18.00977996,,
2020,147,26/05/2020,P3,Diverse,6.367933244,6.078024993,,
2020,147,26/05/2020,P4,Diverse,7.52511143,2.787589771,,
2020,181,29/06/2020,P1,Conventional,4.622005139,28.83755392,,
2020,181,29/06/2020,P2,Conventional,4.589383763,26.11006357,,
2020,181,29/06/2020,P3,Diverse,5.284327445,5.170992093,,
2020,181,29/06/2020,P4,Diverse,4.417379597,6.009151012,,
2020,210,28/07/2020,P1,Conventional,8.305557308,6.26982259,,
2020,210,28/07/2020,P2,Conventional,7.885396541,4.933663406,,
2020,210,28/07/2020,P3,Diverse,8.416873667,5.593590777,,
2020,210,28/07/2020,P4,Diverse,8.834618322,8.41052359,,
2020,247,3/9/2020,P1,Conventional,8.294874277,8.707301879,,
2020,247,3/9/2020,P2,Conventional,9.145138669,12.16725512,,
2020,247,3/9/2020,P3,Diverse,8.587449211,27.58005723,,
2020,247,3/9/2020,P4,Diverse,8.341657942,31.92084499,,
2020,305,31/10/2020,P1,Conventional,9.035383111,12.02610693,,
2020,305,31/10/2020,P2,Conventional,8.382441685,11.11166084,,
2020,305,31/10/2020,P3,Diverse,10.88023856,1.531934517,,
2020,305,31/10/2020,P4,Diverse,10.55056624,3.451204165,,
2020,311,6/11/2020,P1,Conventional,6.503946185,13.44591708,,
