date,plot,rotation,VWC_5,VWC_25,VWC_55,VWC_85,,
1/1/2018,P1,Conventional,,,0.230287321,0.258101255,,
1/1/2018,P2,Conventional,,,0.243518183,0.316863385,,
1/1/2018,P3,Diverse,0.021226741,0.23098996,0.225240808,0.280353787,,0.039469581
1/1/2018,P4,Diverse,0.022901586,0.240714253,0.243695232,0.321641965,,
1/2/2018,P1,Conventional,,,0.230069263,0.257491328,,
1/2/2018,P2,Conventional,,,0.242727893,0.316040805,,
1/2/2018,P3,Diverse,0.019563942,0.225198837,0.225047902,0.279606783,,
1/2/2018,P4,Diverse,0.023492082,0.220745777,0.243184234,0.32063214,,
1/3/2018,P1,Conventional,,,0.229844104,0.257044944,,
1/3/2018,P2,Conventional,,,0.241954726,0.315366691,,
1/3/2018,P3,Diverse,0.018784573,0.220109515,0.224972927,0.278974891,,
1/3/2018,P4,Diverse,0.022876441,0.207798041,0.242931963,0.319756795,,
1/4/2018,P1,Conventional,,,0.229318507,0.256544533,,
1/4/2018,P2,Conventional,,,0.241139956,0.314758723,,
1/4/2018,P3,Diverse,0.018404503,0.214725626,0.224550873,0.278279603,,
1/4/2018,P4,Diverse,0.022782256,0.198965885,0.242459436,0.318868674,,
1/5/2018,P1,Conventional,,,0.228590698,0.255972428,,
1/5/2018,P2,Conventional,,,0.240060433,0.314084743,,
1/5/2018,P3,Diverse,0.016187669,0.207348452,0.223957849,0.277492933,,
1/5/2018,P4,Diverse,0.020774858,0.187886899,0.241729537,0.317904396,,
1/6/2018,P1,Conventional,,,0.227564419,0.255218178,,
1/6/2018,P2,Conventional,,,0.238532091,0.313221133,,
1/6/2018,P3,Diverse,0.014924851,0.188829442,0.223200312,0.276457187,,
1/6/2018,P4,Diverse,0.019266275,0.171090579,0.24085209,0.316791682,,
1/7/2018,P1,Conventional,,,0.227195573,0.254314767,,
1/7/2018,P2,Conventional,,,0.237829535,0.312294493,,
1/7/2018,P3,Diverse,0.014830628,0.162990419,0.222974217,0.275308595,,
1/7/2018,P4,Diverse,0.019085104,0.153123744,0.240297953,0.315366817,,
1/8/2018,P1,Conventional,,,0.22714606,0.253542889,,
1/8/2018,P2,Conventional,,,0.237638463,0.311572591,,
1/8/2018,P3,Diverse,0.017072755,0.150558417,0.222887778,0.274456645,,
1/8/2018,P4,Diverse,0.021450338,0.144281263,0.24000238,0.313976932,,
1/9/2018,P1,Conventional,,,0.225808396,0.253038262,,
1/9/2018,P2,Conventional,,,0.236460045,0.310997703,,
1/9/2018,P3,Diverse,0.018994653,0.151946637,0.222031836,0.273565005,,
1/9/2018,P4,Diverse,0.023688093,0.147758154,0.239165285,0.313194725,,
1/10/2018,P1,Conventional,,,,,,
1/10/2018,P2,Conventional,,,,,,
1/10/2018,P3,Diverse,0.019267448,0.156209983,,,,
1/10/2018,P4,Diverse,0.023907037,0.152754923,,,,
1/11/2018,P1,Conventional,,,0.229698433,0.261591446,,
1/11/2018,P2,Conventional,,,0.244666175,0.317848581,,
1/11/2018,P3,Diverse,0.09095125,0.175268553,0.240199697,0.284629209,,
1/11/2018,P4,Diverse,0.069807371,0.183163659,0.243662071,0.32096901,,
1/12/2018,P1,Conventional,,,0.234285496,0.273050203,,
1/12/2018,P2,Conventional,,,0.250227007,0.326759977,,
1/12/2018,P3,Diverse,,,0.257133994,0.315187406,,
1/12/2018,P4,Diverse,,,0.254174104,0.335378425,,
1/13/2018,P1,Conventional,,,0.234156903,0.272742407,,
1/13/2018,P2,Conventional,,,0.249905275,0.326237728,,
1/13/2018,P3,Diverse,,,0.256708841,0.312827603,,
1/13/2018,P4,Diverse,,,0.254212571,0.328217911,,
1/14/2018,P1,Conventional,,,0.234048453,0.272571379,,
1/14/2018,P2,Conventional,,,0.249762588,0.325087402,,
1/14/2018,P3,Diverse,0.034534897,0.227127835,0.25701247,0.299543759,,
1/14/2018,P4,Diverse,0.039683838,0.224900669,0.254115666,0.327528251,,
1/15/2018,P1,Conventional,,,0.233610852,0.271172645,,
1/15/2018,P2,Conventional,,,0.249344035,0.323762869,,
1/15/2018,P3,Diverse,0.026762582,0.198992568,0.256708847,0.293879307,,
1/15/2018,P4,Diverse,0.029487115,0.196379361,0.253759436,0.325462002,,
1/16/2018,P1,Conventional,,,0.233311925,0.266295222,,
1/16/2018,P2,Conventional,,,0.249009404,0.321287356,,
1/16/2018,P3,Diverse,0.029293188,0.164025435,0.256413718,0.289473194,,
1/16/2018,P4,Diverse,0.031754448,0.165543113,0.253542861,0.32150654,,
1/17/2018,P1,Conventional,,,,,,
1/17/2018,P2,Conventional,,,,,,
1/17/2018,P3,Diverse,,,,,,
1/17/2018,P4,Diverse,,,,,,
1/18/2018,P1,Conventional,,,0.232526395,0.26096419,,
1/18/2018,P2,Conventional,,,0.248002633,0.317441867,,
1/18/2018,P3,Diverse,0.027841097,0.142674008,0.255782162,0.285620909,,
1/18/2018,P4,Diverse,0.030751518,0.136112482,0.252885402,0.31879012,,
1/19/2018,P1,Conventional,,,0.232258151,0.259653751,,
1/19/2018,P2,Conventional,,,0.247574082,0.316091483,,
1/19/2018,P3,Diverse,0.029212768,0.132452628,0.255479172,0.284127231,,
1/19/2018,P4,Diverse,0.031698715,0.124003904,0.252211069,0.317750927,,
1/20/2018,P1,Conventional,0.045841128,0.168491211,0.232122062,0.258651874,,
1/20/2018,P2,Conventional,0.042083927,0.143045425,0.246986402,0.315354052,,
1/20/2018,P3,Diverse,0.035671248,0.13115243,0.254049138,0.28273786,,
1/20/2018,P4,Diverse,0.039964312,0.123476564,0.248762146,0.317140792,,
1/21/2018,P1,Conventional,0.05969727,0.200206829,0.232176077,0.257854112,,
1/21/2018,P2,Conventional,0.053303662,0.160860899,0.245777016,0.314857502,,
1/21/2018,P3,Diverse,0.038405556,0.136687171,0.240636969,0.281270673,,
1/21/2018,P4,Diverse,0.0442839,0.130456827,0.245870382,0.317067015,,
1/22/2018,P1,Conventional,0.067044679,0.226478946,0.232356298,0.261567539,,
1/22/2018,P2,Conventional,0.062694298,0.173953622,0.247067902,0.318402021,,
1/22/2018,P3,Diverse,0.085076857,0.154604548,0.242639015,0.282289547,,
1/22/2018,P4,Diverse,0.067551172,0.154919834,0.248798756,0.322312663,,
1/23/2018,P1,Conventional,0.088437838,0.279637204,0.234239572,0.270703587,,
1/23/2018,P2,Conventional,0.070664414,0.205126936,0.249584812,0.324834228,,
1/23/2018,P3,Diverse,0.150388328,0.198965017,0.249577606,0.312177356,,
1/23/2018,P4,Diverse,0.107038309,0.180509637,0.254253282,0.33204771,,
1/24/2018,P1,Conventional,0.08776373,0.269306299,0.234582927,0.271136071,,
1/24/2018,P2,Conventional,0.068543231,0.20767824,0.249699522,0.324852815,,
1/24/2018,P3,Diverse,0.084604995,0.188519897,0.249348201,0.305789822,,
1/24/2018,P4,Diverse,0.073826404,0.190639901,0.254366828,0.326176037,,
1/25/2018,P1,Conventional,0.061084598,0.261345542,0.234564833,0.270810012,,
1/25/2018,P2,Conventional,0.046424077,0.216870187,0.249716066,0.324375297,,
1/25/2018,P3,Diverse,0.039399009,0.190310786,0.249823609,0.294463175,,
1/25/2018,P4,Diverse,0.043695892,0.191811597,0.254226117,0.325085041,,
1/26/2018,P1,Conventional,0.05702772,0.24733921,0.234124791,0.268649789,,
1/26/2018,P2,Conventional,0.046388932,0.211649864,0.24933681,0.323043932,,
1/26/2018,P3,Diverse,0.041738669,0.173368885,0.249802941,0.290889404,,
1/26/2018,P4,Diverse,0.041942713,0.177346404,0.253893773,0.323135789,,
1/27/2018,P1,Conventional,0.064639592,0.24502553,0.233715183,0.266361151,,
1/27/2018,P2,Conventional,0.055479728,0.208929787,0.248685314,0.322001831,,
1/27/2018,P3,Diverse,0.064531858,0.171713267,0.249408105,0.28974469,,
1/27/2018,P4,Diverse,0.049926396,0.175602955,0.253666754,0.322027275,,
1/28/2018,P1,Conventional,0.071371952,0.251082461,0.233879776,0.266027111,,
1/28/2018,P2,Conventional,0.061341529,0.214613165,0.248998037,0.322258412,,
1/28/2018,P3,Diverse,0.058962927,0.180216619,0.249937372,0.288539404,,
1/28/2018,P4,Diverse,0.054653734,0.184056781,0.253938547,0.322086549,,
1/29/2018,P1,Conventional,0.06274652,0.22853131,0.233785436,0.265108543,,
1/29/2018,P2,Conventional,0.053724012,0.207830406,0.248878296,0.321392547,,
1/29/2018,P3,Diverse,,,0.250075942,0.287418652,,
1/29/2018,P4,Diverse,,,0.253883345,0.322283873,,
