Year,DOY,P1_T_5,P1_T_25,P1_T_55,P1_T_85
2022,1,NA,NA,2.4204999999999997,3.5949999999999998
2022,1.0069444444444444,1.4645000000000001,1.7854999999999999,3.019,4.051
2022,1.0138888888888888,1.4729999999999999,1.7865,3.0484999999999998,4.0085
2022,1.0208333333333333,1.4815,1.7915,2.8395,3.8765
2022,1.0277777777777777,1.4885000000000002,1.795,2.3840000000000003,3.6145
2022,1.0347222222222223,1.4945,1.7945,2.496,3.6275
2022,1.0416666666666667,1.5015,1.7974999999999999,2.6785,3.8185000000000002
2022,1.0486111111111112,1.5074999999999998,1.8010000000000002,3.1414999999999997,4.088
2022,1.0555555555555556,1.5150000000000001,1.8045,3.0805,4.117
2022,1.0625,1.525,1.81,2.5725,3.7
2022,1.0694444444444444,1.5375,1.8145,2.4535,3.5725
2022,1.0763888888888888,1.5474999999999999,1.817,2.5345,3.6325000000000003
2022,1.0833333333333333,1.5605,1.8210000000000002,3.1235,4.117
2022,1.0902777777777777,1.574,1.826,3.09,4.0535
2022,1.0972222222222223,1.587,1.83,3.028,4.0475
2022,1.1041666666666667,1.6015,1.8355000000000001,2.6295,3.6925
2022,1.1111111111111112,1.6139999999999999,1.839,2.3865,3.497
2022,1.1180555555555556,1.6275,1.844,2.733,3.7744999999999997
2022,1.125,1.6395,1.849,3.0975,4.1035
2022,1.1319444444444444,1.654,1.8515000000000001,3.034,3.9805
2022,1.1388888888888888,1.666,1.8570000000000002,3.0145,3.9610000000000003
2022,1.1458333333333333,1.678,1.862,2.9725,3.9705
2022,1.1527777777777777,1.689,1.8650000000000002,2.934,3.9625
2022,1.1597222222222223,1.7,1.869,2.333,3.4135
2022,1.1666666666666667,1.7115,1.8765,2.4370000000000003,3.5815
2022,1.1736111111111112,1.722,1.8805,3.0484999999999998,4.0555
2022,1.1805555555555556,1.7325,1.8864999999999998,3.0435,4.0635
2022,1.1875,1.7395,1.8895,3.0115,3.984
2022,1.1944444444444444,1.75,1.896,2.9895,3.988
2022,1.2013888888888888,1.758,1.9005,2.9425,3.8890000000000002
2022,1.2083333333333333,1.763,1.9045,2.3775,3.557
2022,1.2152777777777777,1.7725,1.9115,2.422,3.5324999999999998
2022,1.2222222222222223,1.7775,1.9135,2.995,3.912
2022,1.2291666666666667,1.787,1.9215,3.0564999999999998,3.9905
2022,1.2361111111111112,1.7930000000000001,1.927,3.0330000000000004,4.031
2022,1.2430555555555556,1.8005,1.9335,2.9939999999999998,3.9195
2022,1.25,1.806,1.9385,2.963,3.9734999999999996
2022,1.2569444444444444,1.8130000000000002,1.9425,2.3935,3.551
2022,1.2638888888888888,1.8199999999999998,1.951,2.4655,3.6145
2022,1.2708333333333333,1.827,1.9540000000000002,2.9450000000000003,3.8529999999999998
2022,1.2777777777777777,1.8359999999999999,1.96,3.116,4.041499999999999
2022,1.2847222222222223,1.845,1.9655,3.0810000000000004,4.0145
2022,1.2916666666666667,1.853,1.9705,3.021,3.9204999999999997
2022,1.2986111111111112,1.8565,1.9745,2.6835,3.7845
2022,1.3055555555555556,1.8584999999999998,1.9785,2.442,3.471
2022,1.3125,1.8584999999999998,1.982,2.558,3.5825
2022,1.3194444444444444,1.8575,1.9855,3.0495,4.03
2022,1.3263888888888888,1.8615,1.9875,3.15,4.023999999999999
2022,1.3333333333333333,1.8615,1.9979999999999998,3.1105,4.0915
2022,1.3402777777777777,1.8605,1.9979999999999998,3.0415,4.022
2022,1.3472222222222223,1.8565,2.0025,2.7904999999999998,3.738
2022,1.3541666666666665,1.8625,2.0075,2.4515000000000002,3.5060000000000002
2022,1.3611111111111112,1.8625,2.0125,2.5655,3.6765
2022,1.3680555555555556,1.8635,2.016,3.115,4.096
2022,1.375,1.8675000000000002,2.0214999999999996,3.1135,4.013
2022,1.3819444444444444,1.8765,2.0285,3.081,4.0705
2022,1.3888888888888888,1.8855,2.032,3.029,3.915
2022,1.3958333333333333,1.892,2.036,2.463,3.5605
2022,1.4027777777777777,1.8975,2.0404999999999998,2.5215,3.636
2022,1.4097222222222223,1.9045,2.0435,2.6605,3.668
2022,1.4166666666666667,1.911,2.0460000000000003,3.17,4.133
2022,1.4236111111111112,1.9165,2.0505,3.134,4.102
2022,1.4305555555555556,1.9255,2.0535,3.1005000000000003,3.949
2022,1.4375,1.936,2.059,2.706,3.6525
2022,1.4444444444444444,1.9445000000000001,2.0635000000000003,2.5069999999999997,3.626
2022,1.4513888888888888,1.952,2.0629999999999997,2.6275,3.575
2022,1.4583333333333333,1.9675,2.0715,2.7785,3.7085
2022,1.4652777777777777,1.9825,2.078,3.2325,4.1145
2022,1.4722222222222223,1.9929999999999999,2.081,3.1845,4.0969999999999995
2022,1.4791666666666665,2,2.086,3.13,4.0120000000000005
2022,1.4861111111111112,2.006,2.089,2.5795,3.6814999999999998
2022,1.4930555555555556,2.0045,2.09,2.6095,3.5780000000000003
2022,1.5,2.0025,2.0935,2.6895,3.6925
2022,1.5069444444444444,1.999,2.0970000000000004,3.1995,4.022
2022,1.5138888888888888,1.9889999999999999,2.099,3.2135,4.147500000000001
2022,1.5208333333333335,1.9795,2.1014999999999997,3.1675,4.0285
2022,1.5277777777777777,1.976,2.1075,2.6135,3.5564999999999998
2022,1.5347222222222223,1.9714999999999998,2.1115000000000004,2.625,3.6795
2022,1.5416666666666665,1.9685000000000001,2.1174999999999997,2.707,3.6414999999999997
2022,1.5486111111111112,1.963,2.121,3.1985,4.102
2022,1.5555555555555554,1.9605000000000001,2.1245000000000003,3.24,4.1395
2022,1.5625,1.9565000000000001,2.128,3.184,4.036
2022,1.5694444444444444,1.952,2.131,2.785,3.766
2022,1.5763888888888888,1.9495,2.1345,2.564,3.5715
2022,1.5833333333333335,1.951,2.1395,2.699,3.732
2022,1.5902777777777777,1.9455,2.143,2.7904999999999998,3.7249999999999996
2022,1.5972222222222223,1.937,2.1435,3.2800000000000002,4.0809999999999995
2022,1.6041666666666667,1.9295,2.1470000000000002,3.2375,4.1495
2022,1.6111111111111112,1.9195,2.1479999999999997,2.98,3.824
2022,1.6180555555555556,1.9064999999999999,2.1494999999999997,2.6135,3.5650000000000004
2022,1.625,1.8900000000000001,2.1500000000000004,2.6965000000000003,3.665
2022,1.6319444444444444,1.8725,2.1494999999999997,2.803,3.7119999999999997
2022,1.6388888888888888,1.855,2.1515,2.8449999999999998,3.856
2022,1.6458333333333335,1.838,2.1559999999999997,3.3125,4.1045
2022,1.6527777777777777,1.8185,2.157,3.3005,4.08
2022,1.6597222222222223,1.8,2.158,2.892,3.89
2022,1.6666666666666665,1.78,2.1595,2.6935000000000002,3.585
2022,1.6736111111111112,1.76,2.159,2.7735000000000003,3.8105
2022,1.6805555555555554,1.738,2.1574999999999998,2.8545,3.866
2022,1.6875,1.7145000000000001,2.1565,2.904,3.8935
