elora1996						
1	-2	-4	0.1	5.1	6.95	88.29
2	-12	-14.5	0	6.05	2.09	66.67
3	-10	-16.5	0	5.56	2.12	72.2
4	-12	-21	0.05	2.42	6.16	77.41
5	-8	-19	0	3.02	5.18	75.59
6	-8	-23	0	0.93	6.84	72.82
7	-8	-17	0	4.85	6.3	71.07
8	-4	-23	0	4.41	7.38	81.71
9	-5.5	-13	0.32	4.77	2.66	86.22
10	-9	-16	0	4.63	5.51	74.56
11	-7.5	-21	0	1.84	4.82	80.27
12	-3	-20	0	1.53	8.24	83.73
13	-1	-11	0	4.19	4.28	95.3
14	0	-4	0	5.86	4.64	91.38
15	-9	-18	0	3.32	6.52	65.31
16	5	-17.5	1.1	5.76	2.56	91.46
17	6	-10	0.56	4.84	7.74	99.03
18	11	2.5	1.78	7.69	5.72	94.91
19	-2.5	-3	0.2	9.73	4.1	87.33
20	-6.5	-12	0	3.96	7.09	59.82
21	-3	-13	0	3.65	6.73	78.65
22	2.5	-8.5	0	6.07	7.38	88.21
23	2.5	-4	0.36	2.61	5.04	88.02
24	2.5	-1.5	0.2	7.25	5	88.17
25	-4.5	-14.5	0.32	3.95	4.82	66.67
26	4.5	-12	2.02	4.22	6.41	85.17
27	0.5	-5	0.36	11.88	5.94	84.1
28	-5	-10.5	0.4	4.62	7.02	70.58
29	0.5	-14.5	0.6	7.85	4.93	81.93
30	-11	-13	0	6.72	8.03	68.03
31	-10	-18	0	4.44	7.6	68.15
32	-7	-22	0	4.44	10.69	69.84
33	-20	-22	0	5.54	9.79	61.09
34	-12	-24	0	3.04	10.15	63.02
35	-11	-25	0	3.53	11.63	69.6
36	-11	-21	0.12	6.47	10.12	76.5
37	-4.5	-19	0.04	3.44	8.82	74.08
38	1.5	-13.5	0.52	7.43	6.41	94
39	2.5	-5.5	1.1	5.79	5.76	97.36
40	1	-0.5	0.6	4.58	11.16	86.55
41	4	-2	0.6	3.35	9.94	93.26
42	3.5	-3	0.5	8.27	9.11	83.93
43	-13	-18.5	0	6.44	11.23	64.79
44	-7	-18.5	0.8	4.33	10.98	74.25
45	-4	-15	0	4.11	11.99	81.17
46	-6.5	-14	0	2.55	13.93	72.3
47	-4.93	-22	0	2.93	11.3	75.4
48	-4.74	-19	0.5	4.45	9.11	85.46
49	-10.12	-22	0	4.76	10.4	68.43
50	1.92	-16	0.08	4.01	7.96	82.59
51	4	-12.5	0.08	4.37	6.52	97.93
52	4	0.5	0.74	2.37	3.74	96.7
53	3.5	-0.5	0.04	2.87	7.92	90.38
54	5	-0.5	1.09	4.37	6.88	96.85
55	5	-1	0	10.73	6.66	72.82
56	5	0	0	4.86	15.98	69.44
57	5	-4	0	2.87	15.01	73.37
58	3	-3	0.58	3.32	4.86	88.91
59	0	-2	0.26	7.92	7.13	76.69
60	-6	-17.5	0	5.55	7.81	58.96
61	-3.3	-11.6	0	5.47	14.98	67.33
62	0.7	-7.4	0.24	5.77	8.06	75.59
63	-8.8	-13.3	0.36	7.82	11.52	67.21
64	-4.9	-14	1.58	4.78	15.84	65.25
65	-1	-7.3	0.24	3.5	6.95	88.95
66	-6.8	-10.6	0.12	5.65	10.01	78.67
67	-12.2	-18.5	0	4.99	14.15	69.6
68	-12.8	-18.7	0	5.63	12.1	66.93
69	-8.5	-19.9	0	4.61	14.33	73.59
70	-4	-18.2	0	3.5	14.54	76.06
71	1.5	-14.4	0	2.06	8.71	74.28
72	5.6	-12.1	0	1.04	9.5	57.03
73	7.7	-4	0	1.94	10.22	64.75
74	10.7	-1.8	0	4.39	16.09	83.84
75	0.9	-2.1	0.04	3.26	10.19	68.34
76	1.9	-9.4	0	2.87	20.34	56.84
77	3.7	-6.1	0	3.79	18.83	60.58
78	7.4	-2.6	0	1.57	11.2	77.35
79	9.9	0.2	2.26	8.25	16.81	68.36
80	-0.1	-3.7	0.14	8.89	4.03	81.64
81	-5.5	-8.4	0	5.42	12.13	73.86
82	-3.2	-10.8	0	5.23	10.01	70.87
83	-0.5	-7.4	0	5.11	20.45	66.44
84	5.3	-11.8	0	3.02	10.12	73.1
85	17.4	-3.5	0.22	8.57	10.69	81.96
86	-5.9	-7.6	0	7.38	10.87	57.2
87	-3.1	-12.1	0	2.17	17.96	53.93
88	3.6	-8	0	4.09	18.68	61.42
89	7.9	-2.9	0	2.44	21.74	69.24
90	8.8	-3.1	0	2.68	21.78	65.22
91	10.3	-1	0	3.13	15.37	71.68
92	5.5	-1	0	5.57	18.94	67.64
93	4	-6.5	0	3.17	21.56	60.04
94	-1	-4	1.02	3.65	10.91	77.81
95	-2	-5	0.3	6.22	5.44	77.09
96	-2	-8	0	3.94	20.3	60.19
97	1	-9	0.2	2.62	13.46	68.67
98	2	-6	0	1.13	12.64	70.74
99	2	-7	0	2.11	16.06	66.38
100	3.5	-8	0	1.32	15.44	66
101	7.5	-4.5	0	4.05	22.79	72.22
102	17.5	-2.5	0.3	4.8	18.22	64.36
103	5.5	3	1.96	4.08	3.24	84.36
104	1.5	-0.5	1.68	4.46	4.36	92.94
105	7.5	-2	0.08	3.35	22.32	68.68
106	7.5	-1	1.14	4.86	9.25	83.52
107	3	-0.5	0.04	5.36	7.52	78.73
108	7	-1	0	5.69	24.08	61.1
109	18	-3.5	0.4	2.79	25.2	65.3
110	20	4	1.24	4.72	17.68	69.2
111	18	8	0.04	5.97	11.16	85.36
112	13	7	0	3.47	11.77	79.28
113	11.5	-0.5	1.36	3.34	4.9	97.66
114	4.5	2	0.86	4.57	6.19	84.83
115	10	-3	0.18	3.64	18.36	75.58
116	15	-2	0.26	4.78	9.58	87.69
117	14	0	0.6	6.72	11.2	76.23
118	5	-4	0	4.42	20.48	58.13
119	10	-5	0.04	1.7	26.21	51.85
120	9.5	2	1.5	5.79	9.43	83.49
121	8	3	0.26	7.14	6.88	83.43
122	12.6	-1	0.66	6.3	15.84	77.45
123	15	-1.8	0	3.53	19.94	60.21
124	12.5	0.2	0.2	1.59	8.32	71.66
125	10.9	5.1	0.02	2.17	8.89	79.71
126	11.9	1.2	0	2.58	14.83	65.83
127	13.6	4.6	0	3.45	23.15	58.24
128	13.4	1.4	0	2.92	15.44	59.13
129	16.1	1.3	0.54	3.06	17.53	76.22
130	14.5	5.9	0.54	2.63	6.66	88.29
131	19	9.5	1.8	4.04	5.15	91.59
132	7.6	4	0.4	4.31	6.23	87.63
133	7.2	0.3	0.02	4.96	26.86	63.11
134	9.2	-1.5	0	2.95	26.28	60.4
135	15.5	-0.4	0	3.56	24.62	54.35
136	16.8	1.3	0.06	3.48	15.59	66.76
137	14.5	3.2	0	1.49	7.99	82.95
138	20.2	9.7	0	2.42	19.69	76.57
139	29.1	12.5	0	4.35	21.71	84.17
140	28.5	12.9	0.44	5.19	19.26	83.76
141	29.9	13	3.64	3.85	11.66	88.49
142	20.1	14.1	0.02	3.06	26.93	71.74
143	20.3	8.6	0.02	2.36	22.5	64.94
144	19.4	7	0.26	1.97	10.15	81.73
145	15.5	6.4	0	3.32	26.21	58.11
146	17.2	3.4	0	2.12	26.21	52.63
147	16.3	7.7	0	2.59	14.51	51.8
148	18.8	5.2	0	3.04	19.04	56.74
149	20	6.8	0	2.71	26.32	61.35
150	14.9	4.7	0	4.45	30.64	51.62
151	18.6	4.2	0	2.34	30.38	54.91
152	22.1	1.4	0	1.83	31.46	48.2
153	23.5	4.5	0	1.91	28.51	46.85
154	19.5	11	0.48	3.96	5.98	85.72
155	22	14.5	0	3.09	16.16	81.21
156	20	12	0.9	3.16	18.72	74.25
157	17.5	9.5	0	3.69	20.45	73.96
158	20.5	7	0.68	3.17	7.45	71.95
159	16	13.5	2.1	1.76	8.5	88.69
160	16	14	0.2	2.66	10.19	82.74
161	21	12	0.07	3.65	9.14	83.71
162	26.5	13	0.64	1.92	19.3	71.79
163	25	15.5	0.42	1.12	19.94	71.95
164	22.5	15.5	0.9	1.79	10.76	79.58
165	25	15	0	2.38	22.68	79.13
166	27	14	0	2.28	26.64	70.33
167	27	12	0	2.11	25.45	57
168	27.5	12	0	0.89	19.44	57.96
169	23	14.5	0.68	1.67	5.51	72.56
170	20	14.5	1.66	3.75	4.1	91.88
171	21.5	14	2.2	2.54	8.6	83.45
172	21.5	16.5	0.02	2.07	7.63	80.47
173	25	12.5	0.9	2.84	25.02	61.2
174	21	14	0.02	5.1	21.31	73.88
175	22.5	6	1.08	1.96	28.19	64.94
176	21.5	12	0.18	2.91	11.56	82.71
177	22	12.5	0	3.25	30.6	63.02
178	23.5	8.5	0	2.17	27.61	54.49
179	26	10.5	0	2.19	24.73	59.02
180	25	14	0	1.91	23.36	67.35
181	26	13.5	0.56	3.91	7.81	76.85
182	28	17.5	0	4.08	26.57	67.6
183	25.5	14	0	2.53	30.02	48.93
184	24.5	11.5	0.14	1.61	11.05	64.14
185	19	12.5	0	4.41	29.63	60.36
186	22.5	12.5	0	4.37	29.59	52.04
187	25	10.5	0	3.4	28.62	46.09
188	27.5	17	0	2.82	24.34	58.67
189	27.5	15	0.04	3.4	10.87	61.86
190	24	11.5	1.24	2.31	15.37	60.86
191	19	11.5	0	3.54	21.35	67.31
192	20	8	0	3.6	27.54	57.75
193	24	8	0	2.31	26.75	48.78
194	25	10.5	0.4	2.25	19.19	56.47
195	25	17	0.14	2.32	18.11	69.65
196	27	15	1.08	2.84	20.74	63.24
197	23.5	17	0.36	2.45	15.44	77.48
198	25.5	15	0	3.82	25.27	64.86
199	28	13.5	0	2.57	24.77	57.47
200	26	15	2.2	2.48	12.42	78.28
201	21	19.5	0	5.41	9.97	74.89
202	22	8	0	4.45	29.63	51.83
203	24.5	10	0	2.31	23.04	52.58
204	25.5	9.5	0.12	1.36	28.94	46.76
205	25	14	0	2.9	24.41	56.26
206	26.5	12.5	0	3.47	22.75	64.21
207	25	15.5	0.04	2.99	21.78	68.05
208	20	13	0	3.02	11.2	65.96
209	23	12	0	2.35	27.83	56.56
210	24	8	0	1.84	22.93	45.65
211	25	12	1.92	2.88	13.64	65.61
212	22.5	16	0.14	3.02	10.98	76.65
213	23	15	0	2.36	15.41	66.54
214	23.5	12.5	0	1.49	22.57	65.29
215	25	11.5	0.02	0.98	17.28	61.26
216	26	11.5	0	0.84	22.97	58.75
217	27	13	0	1	24.84	54.41
218	28.5	13	0	1.73	22.93	59.78
219	29.5	15.5	0	2.08	18.79	59.71
220	31.5	18	0	2.91	21.31	68.3
221	28	18.5	0	2.8	16.13	76.12
222	24	12	0	3.37	25.49	55.71
223	23	10	0	1.44	23.98	55.3
224	22.5	9	0	1.71	18.54	54.24
225	24	13	0	1.97	22.93	57.01
226	27	12	0	2.2	21.35	60.73
227	26	10.5	0	1.89	23.8	52.38
228	27.5	17	1.42	3.84	16.74	66.85
229	21.5	15.5	0	2.65	12.1	68.55
230	25.5	12	0	0.99	21.53	58.06
231	27.5	11.5	0	0.92	22.86	48.5
232	27	12.5	0	1.97	19.62	54.31
233	27	16.5	0.16	3.24	9.65	76.95
234	27	14.5	0	1.87	24.7	57.81
235	28	10	3.9	2.7	14.36	68.83
236	25	17	0	3.04	13.14	66.89
237	25	12.5	0	2.53	25.02	54.76
238	26.5	13	0	4.06	24.19	53.65
239	27	13	2.8	2.78	14.36	63.77
240	21.5	14.5	0.2	2.9	11.12	80.42
241	24.5	14.5	0	1.43	17.28	67.26
242	23.5	11.5	0	2.27	20.48	60.24
243	24	10.5	0	1.34	22.32	54.1
244	25	9	0	1.28	21.28	50.39
245	26	11	0	0.76	20.41	49.1
246	27	12	0	0.88	19.48	49.2
247	26.5	11.5	0	0.86	19.22	50.58
248	27	14	0	0.68	19.55	49.38
