elora2003							
1	-2.3	-3.6	0.214	5.44	4.82	76.06	
2	-5.5	-12	0.23	6.76	6.66	80.26	
3	-1.9	-8.9	0.335	2.2	6.48	96.4	
4	-2.7	-5.3	0.129	2.54	4.72	89.6	
5	-2.9	-12.5	0.023	1.03	6.7	84.18	
6	-3.2	-7.8	0.131	3.99	7.13	86.49	
7	2.1	-16.3	0.089	5.61	4.07	94.03	
8	3.5	-4.1	0.085	5.44	5.58	93.94	
9	1.9	-0.1	0.167	5.5	5	91.85	
10	-5.5	-13.8	0.091	6	5.62	74.27	
11	-5.2	-11.3	0.116	7.52	6.01	78.68	
12	-5	-7.9	0.042	6.11	7.67	80.86	
13	-7.9	-9.9	0.038	7.24	7.52	74.2	
14	-7	-14.3	0.039	2.75	7.24	78.16	
15	-7.7	-12.9	0.087	5.61	7.27	77.16	
16	-8.4	-11.1	0.013	4.52	6.95	81.18	
17	-12.5	-20.3	0.043	4.5	8.86	73.44	
18	-8.7	-19.1	0.013	6.1	8.75	83.28	
19	-8.9	-12.4	0.115	6.91	7.06	77.78	
20	-11.7	-12.9	0.062	6.29	8.28	71.37	
21	-11.7	-18.3	0.034	4.11	9.36	73.49	
22	-15.2	-22	0.026	4.98	9.22	74.2	
23	-14.1	-19.1	0.13	5.09	4.75	77.64	
24	-8.3	-17.9	0.025	4.06	6.12	85.17	
25	-6.4	-11.9	0.048	6.35	4.9	80.77	
26	-9.7	-13.8	0.134	4.61	7.56	83.6	
27	-12	-29	0.018	2.72	9.68	73.66	
28	-4.8	-16.7	0.1	3.63	6.84	85.26	
29	-6	-9.4	0.093	3.22	10.22	87.01	
30	-7.4	-25.9	0.007	2.22	10.91	88.5	
31	-1.2	-16.1	0.017	2.32	7.6	98.01	
32	3.3	-5.2	0.06	1.22	8.1	96.55	
33	0.6	-3.3	0.027	2.54	10.58	92.44	
34	6	-8.3	0.502	4.52	4.39	92.85	
35	0.8	-5.7	0.782	10.27	6.44	86.83	
36	-8.8	-10.8	0.027	5.72	7.78	71.84	
37	-3.4	-13.1	0.021	4.44	8.42	84.43	
38	-7	-13.8	0.028	3.99	12.42	72.99	
39	-5.3	-14	0.024	8.1	11.84	76.42	
40	-8.4	-10.3	0.074	5.48	13.1	77.56	
41	-3.7	-13.4	0.139	5.43	7.99	86.14	
42	-9.1	-24.1	0.033	4.19	8.28	77.8	
43	-11.7	-14.1	0.115	7.55	8.5	71.38	
44	-11.6	-17.8	0.046	5.94	9.65	71.52	
45	-8	-16.7	0.005	3.82	10.87	72.7	
46	-13.5	-18.5	0.03	5.72	11.77	67.68	
47	-11.3	-19.5	0.016	7.18	10.94	75.49	
48	-6.2	-15.2	0.266	6.14	6.23	85.47	
49	-2.4	-9.8	0.207	3.04	7.96	89.45	
50	0.8	-3.9	0.009	5.6	9.25	87.01	
51	3.1	-14.3	0.008	5.17	14.33	88	
52	3.4	-4.3	0	2.99	11.52	80.52	
53	1.6	-5.6	0.829	5.2	5.58	90.01	
54	-9.9	-11.9	0.784	7.57	8.17	83.96	
55	-7.7	-18	0.09	2.19	8.1	80.84	
56	-11.5	-23.1	0.076	2.47	10.19	74.21	
57	-5.8	-27	0.024	1.2	12.96	77.82	
58	-2.4	-21.6	0.002	2.14	15.88	93.6	
59	0	-17.7	0.001	1.48	15.84	85.19	
60	0.6	-14.9	0.019	1.46	11.3	89.98	
61	-0.9	-13.3	0.28	5.86	7.52	95.51	
62	-10.3	-27.5	0.024	2.94	12.53	66.46	
63	0.4	-19.1	0.291	3.76	11.34	92.42	
64	-4.7	-7.6	0.626	4.48	8.68	88.38	
65	-2.5	-12.7	0.146	2.54	15.55	78.09	
66	-2.1	-20.2	0.042	3.38	10.33	93.85	
67	0.9	-3.8	0.448	3.26	8.86	95.35	
68	-13.1	-17.4	0.062	5.5	13.32	74.28	
69	-12.9	-22.1	0.032	5	13.57	74.45	
70	0.8	-20	0.02	5.47	10.15	85.63	
71	-3.5	-6.2	0.081	3.7	9.47	90.23	
72	-1.1	-13.6	0.123	3.32	10.3	83.48	
73	-1.1	-16.5	0.015	1.79	16.02	74.14	
74	11.7	-7.8	0.024	1.68	20.2	85.98	
75	11.2	-3.8	0.017	2.42	14.26	100	
76	15.6	1.3	0.006	1.99	14.54	91.46	
77	7.4	3.2	0	5.6	12.2	81.52	
78	4.2	-2.6	0.024	5.76	17.17	81.92	
79	6.2	0.6	0.41	3.14	15.62	90.8	
80	7.1	1.9	0.255	1.78	3.42	96.9	
81	4	-0.4	0.284	3.57	6.88	88.3	
82	6.7	-0.1	0.042	2.47	11.92	87.41	
83	13.4	-2.1	0.039	2.98	19.69	81.33	
84	12.4	4.2	0.179	3.19	10.48	80.9	
85	7.8	0.1	0.378	2.5	18.14	72.17	
86	10.6	-1.3	0.03	2.45	17.35	72.54	
87	18.8	3	0.179	6.52	12.06	81.85	
88	3.2	0.4	1.112	5.66	4.72	83.61	
89	0.6	-4.7	0.171	4.04	15.66	70.91	
90	-1.7	-6.7	0.044	3.33	15.62	69.57	
91	8.6	-7	0.08	3	17.53	94.71	
92	3	-0.4	0	3.92	12.17	92.11	
93	-1.6	-3.5	0	6.43	5.33	88.75	
94	-2.8	-5.5	0	7.93	6.52	89.36	
95	-0.7	-6.4	1.86	5.05	8.93	90.18	
96	0.4	-12.4	0	2.48	14.69	83.74	
97	-3.8	-6.5	0.2	7.54	4.79	90.02	
98	-0.9	-5.7	0	4.25	7.31	93.22	
99	5.2	-6.3	0	2.87	18.83	88.66	
100	11.3	-4.8	0	2.28	23.11	75.28	
101	16.5	-0.8	0	1.57	24.52	72.29	
102	11.1	-0.5	0	4.2	22.93	74.69	
103	10	-3.3	0	1.37	22.82	61.42	
104	19.2	-0.8	0	4.18	23.4	65.54	
105	26.3	11.5	0	6.38	18.65	71.32	
106	8	1.4	0	5.09	8.6	86.55	
107	2.6	-3.5	0.06	7.59	11.23	72.66	
108	10.4	0.2	0.14	3.59	4	87.43	
109	18.1	6.7	0	2.99	17.53	83.08	
110	23.2	7.6	0.36	4.29	13.43	84.41	
111	15	10.1	0.18	4.2	6.37	82.05	
112	5	1.2	0.04	4.38	9.79	85.15	
113	6.9	-2.9	0	4.46	25.52	67.35	
114	13.4	-3.2	0	1.97	25.27	61.56	
115	15.5	-2.5	0	2.44	23.58	66.97	
116	14.1	-0.5	0	3.06	27.11	62.77	
117	18.9	-2.2	0	2.73	26.17	57.77	
118	23.6	5.4	0	4.78	20.81	72.41	
119	14.3	1	0	2.95	24.8	68.31	
120	12.2	0.7	1.5	2.3	7.45	69.03	
121	17.4	4.7	0.64	4.11	12.13	89.03	
122	14.8	8.1	0	3.46	19.44	80.19	
123	13.9	2.1	0	2.96	28.26	63.63	
124	16.8	1.6	0	2.82	27.4	60.05	
125	11.4	5.5	2.16	4.49	3.74	89.46	
126	16.8	6.2	0	3.15	10.22	83.26	
127	11.4	7.3	0.14	1.97	6.66	84.62	
128	19.7	8.2	0.02	2.3	22.68	74.27	
129	16.7	4	0	3.17	17.14	73.8	
130	19	6.8	0.68	2.08	13.64	92.21	
131	19.3	10.6	0.94	6.01	9.68	82.99	
132	8.3	6	0.14	6.69	5.87	89.05	
133	10.5	4.3	0	4.86	11.99	83.22	
134	16.1	3.6	0	1.85	25.81	71.49	
135	16.1	3.9	0.02	4.05	13.21	88.34	
136	10.5	9.2	0.44	4.28	5.33	93.29	
137	14.9	8.6	0.02	3.36	11.56	83.11	
138	19.4	7.9	0	2.73	20.09	81.24	
139	21.4	6.6	0	2.74	26.71	69.2	
140	16.8	11.7	0.7	4.9	3.06	86.83	
141	14.3	2.1	0	3.98	31.18	64.29	
142	16	2.3	0	3.85	28.22	63.68	
143	16.4	5.5	2	4.48	9.22	86.92	
144	16.1	9.4	0.06	2.57	14.8	80.55	
145	16.5	7.6	0	1.17	16.34	79.26	
146	17.4	5.8	0.08	1.98	18.9	81.12	
147	16.9	6.9	0.42	0.98	12.64	82.58	
148	18.8	6.2	0.18	1.66	21.92	77.94	
149	22.5	5.3	0	2.47	24.52	77.35	
150	20.7	8.1	0.22	1.77	20.27	70.64	
151	14.3	9.8	0	5	8.96	87.14	
152	15	3.6	0	4.49	29.45	63.7	
153	20	5	0	3.09	28.22	66.38	
154	17.5	5.8	0	2.66	12.46	66.53	
155	16.7	9.4	1.42	4.33	6.98	89.51	
156	14.8	10.3	0.02	2.43	6.52	86.89	
157	23.5	6.1	0.02	1.88	24.77	70.65	
158	22.6	13.7	0	1.38	20.16	76.93	
159	22.2	12.4	1.42	2.2	10.58	84.43	
160	16.8	11.7	0.04	4.75	11.09	84.72	
161	21.3	5.7	0.04	2.22	15.98	79.25	
162	21	15	0	3.99	15.62	82.62	
163	18	11.9	0.52	4.81	11.02	90.65	
164	19.2	12.3	0	2.68	8.96	91.32	
165	25.1	13.3	0	1.97	28.15	77.77	
166	24.8	11.8	0	2.66	31.39	68.85	
167	21.9	9.3	0	2.91	32.29	66.95	
168	25.9	9.9	0	1.68	25.67	82.95	
169	25.1	13.4	1.34	1.41	20.88	82.14	
170	16.3	13.1	0	3.57	29.92	72.76	
171	21	7.6	0	2.79	30.71	65.08	
172	25.2	11.5	0	1.95	30.42	67.19	
173	27.4	13.5	0	2.9	31.28	63.84	
174	29	11.8	0	1.84	31.93	59.39	
175	30.6	12.2	0	2.09	26.82	59.73	
176	32.3	18.1	0	2.93	28.51	64.14	
177	31.2	17.2	0.18	4.59	19.48	75.44	
178	23.5	14.2	0	3.78	27.4	64.65	
179	25.5	12.7	0.78	3.09	23.36	63.83	
180	25	14.1	2.1	4	20.02	75.14	
181	23.3	10.6	0	2.29	28.37	66.29	
182	27.2	12.7	0	1.9	30.06	59.76	
183	28.2	12.3	0	1.54	27.97	55.37	
184	29.5	14	0	2.5	26.39	57.98	
185	31.1	17.4	0.04	3.47	24.44	69.03	
186	28.5	18.1	0.2	3.4	19.33	72.38	
187	29.4	15.7	1.5	1.58	29.77	54.26	
188	24.2	15.7	0.12	2.7	12.31	80.1	
189	25.2	18	0.02	3.43	26.21	65.09	
190	25.7	16.2	0.02	1.87	25.7	62.06	
191	21.5	15	0.76	3.18	7.92	78.69	
192	20.4	16	0.54	5.67	6.26	79.62	
193	17.6	13.5	0.02	4.87	9.83	80.7	
194	24	10.5	0	1.98	27.79	58	
195	26.8	10.8	0.06	1.21	30.38	52.54	
