elora2008							
1	-1.2	-9.7	0.36	4.86	4.4	90.7	
2	-9.6	-20.2	0.06	4.82	8.38	74.72	
3	-8.2	-22.1	0.8	3.58	6.6	82.29	
4	-4	-8.9	0	5.66	6.15	82.8	
5	1.9	-5.4	0	4.95	3.51	93.65	
6	6	1.2	0.28	5.14	4.32	98.27	
7	11.8	5.2	0.21	6.72	3.52	99.48	
8	12.8	8.6	0.92	5.87	3.14	95.59	
9	10.9	-0.8	2.79	8.55	8.32	86.34	
10	1.9	-2	0.24	3.35	7.63	88.65	
11	5.1	0.1	0.39	6.94	3.57	89.99	
12	0.7	-2.2	0	2.71	5.85	86.48	
13	1.3	-2.4	0.14	3.57	7.06	95.25	
14	-0.1	-2.1	0.34	4.31	4.43	89.52	
15	-1.5	-8.9	0.07	3.05	5.44	86.71	
16	-2.7	-12.2	0.42	2.33	5.32	81.64	
17	0.6	-5.2	0.14	3.62	6.07	87.67	
18	0.6	-9.8	0.06	7.74	8.06	72.59	
19	-5.1	-17.1	0.08	6.48	7.56	71.38	
20	-12.2	-16.9	0.13	7.51	8.15	63.11	
21	-9.5	-14.5	0.09	5.3	7.94	68.8	
22	-2.4	-10.6	0.67	5.69	5.23	85.86	
23	-9.3	-12.5	0.14	5.05	6.69	74.93	
24	-7.5	-17.5	0.15	2.53	7.03	77.69	
25	-9.1	-16	0	5.92	7.91	79.87	
26	-6.3	-14.6	0.28	1.93	5.37	86.07	
27	-1.5	-13	0.22	0.84	5.67	86.21	
28	0.5	-7.3	0.1	3.06	7.93	88.93	
29	5.6	0.3	0.52	5.99	6.16	93.74	
30	7	-12.7	0.25	11.06	10.37	76.16	
31	-6.4	-13.3	0	2.87	10.77	71.41	
32	-1.1	-6.4	0.8	4.98	2.48	91.94	
33	-1.8	-4	0.06	3.78	4.41	90.59	
34	0.83	-3.3	0.01	1.63	4.72	89.74	
35	2.54	-3.41	0.648	4.32	5.65	93.92	
36	4.68	-1.47	0.387	3.42	6.78	96.54	
37	-1	-7.1	1.17	7.45	4.26	89.97	
38	-4.6	-11.1	0.12	3.17	6.58	83.08	
39	-2	-6.6	0.048	2.07	6.19	90.52	
40	1	-2.6	0.49	4.59	4.84	94.49	
41	-2.4	-18.4	0.06	9.22	8.19	83.92	
42	-11.9	-20.2	0.31	5.82	9.82	76.74	
43	-8.2	-17.7	0.39	4.5	5.15	88.35	
44	-6.3	-10.9	0.31	3.53	10.92	86.99	
45	-2.49	-12.71	0.042	4.78	9.87	91.91	
46	-2.38	-12.03	0.07	4.72	10.23	84.45	
47	-4.9	-16.25	0.011	2.17	10.01	78.44	
48	3.87	-11.03	0.982	5.02	4.17	100	
49	3.92	-5.93	0.272	7.97	7.68	86.44	
50	-6.31	-9.81	0.096	6.98	8.91	75.29	
51	-9.3	-17.2	0.3	4.22	9.67	73.26	
52	-8.4	-16	0.28	2.52	9.6	71.74	
