file_info,,,,,,,corrected_fluxes_and_quality_flags,,,,,,,,,,,,,,,storage_fluxes,,,,vertical_advection_fluxes,,gas_densities_concentrations_and_timelags,,,,,,,,,,air_properties,,,,,,,,,,,,,,unrotated_wind,,,rotated_wind,,,,,,rotation_angles_for_tilt_correction,,,turbulence,,,,,,uncorrected_fluxes,,,,,,,,,,statistical_flags,,,,,,,,,,,,spikes,,,,,,variances,,,,,,covariances,,,custom_variables
filename,date,time,DOY,daytime,file_records,used_records,Tau,qc_Tau,rand_err_Tau,H,qc_H,rand_err_H,LE,qc_LE,rand_err_LE,co2_flux,qc_co2_flux,rand_err_co2_flux,h2o_flux,qc_h2o_flux,rand_err_h2o_flux,H_strg,LE_strg,co2_strg,h2o_strg,co2_v-adv,h2o_v-adv,co2_molar_density,co2_mole_fraction,co2_mixing_ratio,co2_time_lag,co2_def_timelag,h2o_molar_density,h2o_mole_fraction,h2o_mixing_ratio,h2o_time_lag,h2o_def_timelag,sonic_temperature,air_temperature,air_pressure,air_density,air_heat_capacity,air_molar_volume,ET,water_vapor_density,e,es,specific_humidity,RH,VPD,Tdew,u_unrot,v_unrot,w_unrot,u_rot,v_rot,w_rot,wind_speed,max_wind_speed,wind_dir,yaw,pitch,roll,u*,TKE,L,(z-d)/L,bowen_ratio,T*,un_Tau,Tau_scf,un_H,H_scf,un_LE,LE_scf,un_co2_flux,co2_scf,un_h2o_flux,h2o_scf,spikes_hf,amplitude_resolution_hf,drop_out_hf,absolute_limits_hf,skewness_kurtosis_hf,skewness_kurtosis_sf,discontinuities_hf,discontinuities_sf,timelag_hf,timelag_sf,attack_angle_hf,non_steady_wind_hf,u_spikes,v_spikes,w_spikes,ts_spikes,co2_spikes,h2o_spikes,u_var,v_var,w_var,ts_var,co2_var,h2o_var,w/ts_cov,w/co2_cov,w/h2o_cov,diag_75_mean
,[yyyy-mm-dd],[HH:MM],[ddd.ddd],[1=daytime],[#],[#],[kg+1m-1s-2],[#],[kg+1m-1s-2],[W+1m-2],[#],[W+1m-2],[W+1m-2],[#],[W+1m-2],[µmol+1s-1m-2],[#],[µmol+1s-1m-2],[mmol+1s-1m-2],[#],[mmol+1s-1m-2],[W+1m-2],[W+1m-2],[µmol+1s-1m-2],[mmol+1s-1m-2],[µmol+1s-1m-2],[mmol+1s-1m-2],[mmol+1m-3],[µmol+1mol_a-1],[µmol+1mol_d-1],[s],[1=default],[mmol+1m-3],[mmol+1mol_a-1],[mmol+1mol_d-1],[s],[1=default],[K],[K],[Pa],[kg+1m-3],[J+1kg-1K-1],[m+3mol-1],[mm+1hour-1],[kg+1m-3],[Pa],[Pa],[kg+1kg-1],[%],[Pa],[K],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[deg_from_north],[deg],[deg],[deg],[m+1s-1],[m+2s-2],[m],[#],[#],[K],[kg+1m-1s-2],[#],[W+1m-2],[#],[W+1m-2],[#],[µmol+1s-1m-2],[#],[mmol+1s-1m-2],[#],8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8co2/h2o/ch4/none,8co2/h2o/ch4/none,8aa,8U,[#],[#],[#],[#],[#],[#],[m+2s-2],[m+2s-2],[m+2s-2],[K+2],--,--,[m+1K+1s-1],--,--,--
20240101T010000.dat,1/1/2024,1:00,1.0416,0,18000,17999,-4.40E-02,0,0.347781E-02,-2.46294,0,0.190633,21.9185,0,7.4857,-1.56825,0,0.623711,0.485316,0,0.165747,-9999,-9999,-9999,-9999,0.108045E-10,0.385376E-12,13.7241,318.54,322.201,0.1,0,489.511,11.3617,11.4923,0,0,271.53,270.554,97262.8,1.24708,1002.97,0.232103E-01,0.314485E-01,0.882099E-02,1101.38,503.507,0.707334E-02,-9999,-9999,281.545,-1.14579,-2.81641,-1.95E-02,3.04063,-2.02E-14,0.787267E-15,3.04063,5.43332,22.2353,247.862,-0.367663,-9999,0.187803,0.30585,228.08,0.112242E-01,-0.112368,0.104850E-01,-4.36E-02,1.00986,-1.33939,1.017,19.6185,1.11278,-1.45799,1.11278,0.434391,1.11278,800001199,800000099,800000099,800001099,800000099,800001099,899999999,899999999,81100,81100,89,81,17,4,5,12,534,192,0.302474,0.263924,0.453023E-01,0.171097E-02,0.565559E-01,2621.51,-1.07E-03,-1.46E-03,0.434391,255
20240101T013000.dat,1/1/2024,1:30,1.0624,0,18000,17999,-4.37E-02,0,0.337677E-02,-0.818228,2,0.142946,-10.1444,2,16.601,0.871716,1,1.36046,-0.224651,2,0.367635,0.302516,-14.1539,-0.457829,-0.313443,0.158256E-09,0.318085E-11,13.4185,311.077,313.035,0,1,269.703,6.25246,6.2918,0.1,0,271.26,270.723,97281.5,1.24893,1008.49,0.231828E-01,-1.46E-02,0.486005E-02,607.205,509.948,0.389136E-02,100,0,273.064,-1.15118,-2.88941,-2.81E-02,3.11042,-2.16E-15,0.117939E-13,3.11042,5.07654,21.3314,248.277,-0.518025,-9999,0.187142,0.292973,684.46,0.374017E-02,0.806584E-01,0.347129E-02,-4.33E-02,1.00984,-1.30944,1.01712,-9.02342,1.11397,0.874056,1.11397,-0.199827,1.11397,800001099,800000099,800000099,800000099,800000099,800000099,899999999,899999999,81100,81100,89,80,11,1,2,8,547,48,0.303144,0.231452,0.513494E-01,0.107459E-02,0.537114E-01,3241.2,-1.04E-03,0.874056E-03,-0.199827,255
20240101T020000.dat,1/1/2024,2:00,1.0833,0,18000,18000,-3.03E-02,0,0.255982E-02,-1.35271,2,0.110286,10.8927,1,2.20269,0.485622,2,0.153435,0.241222,1,0.487791E-01,-1.36E-02,-5.56139,0.705237,-0.123158,0.971682E-11,0.127924E-12,13.9257,322.563,323.939,0,1,183.335,4.24663,4.26474,0,0,271.08,270.715,97299.1,1.25014,1007.41,0.231632E-01,0.156312E-01,0.330370E-02,412.747,509.683,0.264267E-02,80.9812,96.9356,267.868,-1.39589,-2.51902,-2.25E-02,2.88002,-8.42E-14,0.697763E-15,2.88002,5.3202,30.0662,241.007,-0.447648,-9999,0.155692,0.277721,238.353,0.107404E-01,-0.124184,0.689880E-02,-3.00E-02,1.0099,-0.786768,1.01674,9.80093,1.11003,0.417244,1.11003,0.217044,1.11003,800001099,800000099,800000099,800000099,800000099,800001199,899999999,899999999,80100,80100,89,81,12,4,3,19,275,52,0.291591,0.222643,0.412080E-01,0.899019E-03,0.150874E-02,89.3794,-6.25E-04,0.417244E-03,0.217044,255
20240101T023000.dat,1/1/2024,2:30,1.1041,0,18000,18000,-3.80E-02,0,0.380158E-02,-0.831595,0,0.163808,6.8731,1,4.47821,0.657089,2,0.175614,0.152218,1,0.991783E-01,0.139424,-4.06452,0.701302,-9.00E-02,-1.83E-11,-1.52E-13,14.4249,333.98,334.912,0,1,120.123,2.78121,2.78897,0,0,271.032,270.793,97324.8,1.2508,1006.62,0.231530E-01,0.986371E-02,0.216462E-02,270.514,512.643,0.173059E-02,52.7686,242.128,262.431,-1.08454,-2.3801,-1.98E-02,2.61562,0.886034E-14,-1.27E-15,2.61562,4.98013,24.2906,245.503,-0.433733,-9999,0.17438,0.270326,544.729,0.469959E-02,-0.120993,0.378760E-02,-3.77E-02,1.00998,-0.47334,1.01612,6.22158,1.10378,0.58116,1.10378,0.137789,1.10378,800001099,800000099,800000099,800000199,800000099,800000099,899999999,899999999,80100,80100,89,80,6,2,3,20,684,113,0.322138,0.180078,0.384373E-01,0.878673E-03,0.180601E-02,329.371,-3.76E-04,0.581160E-03,0.137789,255
20240101T030000.dat,1/1/2024,3:00,1.1249,0,18000,17999,-3.92E-02,0,0.352719E-02,-2.14931,0,0.153284,5.07194,2,1.97161,0.519771,1,0.975877E-01,0.112322,2,0.436626E-01,-0.103521,-2.98127,0.947084,-6.60E-02,-1.60E-11,-7.82E-14,15.1025,349.386,349.983,0.1,0,73.7979,1.70727,1.71019,0,1,270.882,270.735,97349.2,1.25189,1006.04,0.231344E-01,0.727843E-02,0.132984E-02,166.156,510.457,0.106227E-02,32.5504,344.301,256.463,-1.29309,-2.78874,-3.13E-02,3.07411,-5.31E-14,-1.06E-15,3.07411,5.21491,24.4582,245.124,-0.584061,-9999,0.176883,0.34122,219.97,0.116379E-01,-0.423764,0.964794E-02,-3.88E-02,1.00993,-1.86087,1.01734,4.55804,1.11545,0.516147,1.11545,0.100941,1.11545,800001099,800000099,800000099,800000199,800001099,800001199,899999999,899999999,81100,81100,89,81,4,10,4,16,419,174,0.408161,0.220794,0.534838E-01,0.122916E-02,0.115622E-02,101.279,-1.48E-03,0.516147E-03,0.100941,255
20240101T033000.dat,1/1/2024,3:30,1.1458,0,18000,18000,-3.96E-02,0,0.406743E-02,-1.12669,0,0.133509,4.66842,0,0.572289,0.701417,1,0.213916,0.103377,0,0.126727E-01,-0.156377,-1.60282,1.62541,-3.55E-02,-3.21E-12,-9.66E-15,16.256,375.807,376.232,0,0,48.8944,1.13034,1.13162,0,0,270.745,270.648,97368.9,1.25282,1005.73,0.231180E-01,0.669882E-02,0.881077E-03,110.05,507.167,0.703277E-03,21.699,397.116,251.654,-1.12715,-2.59461,-1.86E-02,2.82892,0.137772E-13,-1.98E-16,2.82892,5.06771,22.9448,246.519,-0.376678,-9999,0.177711,0.334373,425.568,0.601550E-02,-0.241343,0.503179E-02,-3.92E-02,1.00989,-0.875148,1.01656,4.21383,1.10836,0.646254,1.10836,0.933103E-01,1.10836,800001199,800000099,800000099,800000199,800001099,800001099,899999999,899999999,81100,81100,89,80,7,3,7,17,228,299,0.358383,0.258752,0.516116E-01,0.101965E-02,0.163732E-02,7.41426,-6.95E-04,0.646254E-03,0.933103E-01,254.795
20240101T040000.dat,1/1/2024,4:00,1.1666,0,18000,18000,-1.95E-02,0,0.196126E-02,-1.21743,0,0.152734,2.59554,0,0.223555,0.339549,2,0.100842,0.574662E-01,0,0.494957E-02,-0.301555,0.504054,1.19524,0.111599E-01,0.236851E-10,0.786036E-13,17.1078,395.221,395.741,0,1,56.7754,1.31162,1.31334,0,0,270.592,270.48,97382,1.25368,1005.82,0.231019E-01,0.372381E-02,0.102309E-02,127.709,500.876,0.816073E-03,25.4971,373.167,253.367,-1.02351,-2.16516,-3.13E-02,2.39509,0.366934E-13,0.138447E-14,2.39509,4.27891,25.0962,244.699,-0.749171,-9999,0.124737,0.185506,136.216,0.187937E-01,-0.469044,0.773998E-02,-1.93E-02,1.01034,-1.06767,1.01672,2.35083,1.10654,0.34152,1.10654,0.520481E-01,1.10654,800001099,800000099,800000099,800000099,800000099,800000099,899999999,899999999,81100,81100,89,80,15,3,5,12,209,117,0.21655,0.128147,0.263146E-01,0.156258E-02,0.101158E-02,2.10105,-8.47E-04,0.341520E-03,0.520481E-01,253.828
20240101T043000.dat,1/1/2024,4:30,1.1874,0,18000,18000,-4.34E-02,0,0.383184E-02,0.114558,0,0.130266,6.22796,0,0.417575,0.610896,2,0.780141E-01,0.137893,0,0.924547E-02,0.470957E-01,-0.356543,0.338401,-7.89E-03,-2.05E-11,-6.06E-14,17.3466,400.718,401.193,0,0,51.2276,1.18339,1.1848,0,0,270.608,270.506,97392.3,1.25375,1005.75,0.231007E-01,0.893544E-02,0.923122E-03,115.241,501.854,0.736289E-03,22.9631,386.613,252.182,-1.34339,-2.59108,-2.23E-02,2.91871,-5.01E-14,-1.18E-15,2.91871,5.48418,27.2647,242.595,-0.436927,-9999,0.186062,0.319383,-4804.63,-5.33E-04,0.183941E-01,-4.88E-04,-4.28E-02,1.01438,0.425343,1.01942,5.6484,1.10116,0.499313,1.10116,0.125061,1.10116,800000099,800000099,800000099,800000099,800000099,800000099,899999999,899999999,81100,81100,89,80,11,0,5,43,72,17,0.378625,0.215917,0.442239E-01,0.824317E-03,0.228529E-03,3.64097,0.337316E-03,0.499313E-03,0.125061,253
20240101T050000.dat,1/1/2024,5:00,1.2082,0,18000,18000,-2.61E-02,1,0.343271E-02,-0.75519,0,0.762463E-01,5.84052,0,0.309775,0.53471,2,0.816150E-01,0.129326,0,0.685932E-02,0.172192,-1.43942,0.269146,-3.19E-02,0.583463E-12,0.958767E-15,17.5346,405.09,405.36,-0.1,0,28.8135,0.665659,0.666102,0,0,270.659,270.602,97404.2,1.2537,1005.48,0.231023E-01,0.838033E-02,0.519219E-03,64.8416,505.445,0.414149E-03,12.8286,440.604,245.775,-0.907617,-2.40609,-2.48E-02,2.5717,-9.23E-15,0.332749E-16,2.5717,5.86149,20.7727,249.333,-0.551695,-9999,0.144323,0.315282,340.142,0.752626E-02,-0.129302,0.415101E-02,-2.59E-02,1.01003,-0.45031,1.01618,5.2898,1.10392,0.472083,1.10392,0.117131,1.10392,800000099,800000099,800000099,800000099,800000099,800000099,899999999,899999999,81100,81100,89,80,9,1,2,20,2,2,0.40312,0.185202,0.422418E-01,0.559674E-03,0.191415E-03,2.30684,-3.57E-04,0.472083E-03,0.117131,252.071
