file_info,,,,,,,corrected_fluxes_and_quality_flags,,,,,,,,,,,,,,,,,,,,,storage_fluxes,,,,,,vertical_advection_fluxes,,,,gas_densities_concentrations_and_timelags,,,,,,,,,,,,,,,,,,,,air_properties,,,,,,,,,,,,,,unrotated_wind,,,rotated_wind,,,,,,rotation_angles_for_tilt_correction,,,turbulence,,,,,,footprint,,,,,,,,uncorrected_fluxes_and_spectral_correction_factors_(scf),,,,,,,,,,,,,,statistical_flags,,,,,,,,,,,,spikes,,,,,,,,diagnostic_flags_LI-7200,,,,,,,,,diagnostic_flags_LI-7500,,,,diagnostic_flags_LI-7700,,,,,,,,,,,,,,,,AGC_LI-7200,AGC_LI-7500,variances,,,,,,,,covariances,,,,,custom_variables,,
filename,date,time,DOY,daytime,file_records,used_records,Tau,qc_Tau,rand_err_Tau,H,qc_H,rand_err_H,LE,qc_LE,rand_err_LE,co2_flux,qc_co2_flux,rand_err_co2_flux,h2o_flux,qc_h2o_flux,rand_err_h2o_flux,ch4_flux,qc_ch4_flux,rand_err_ch4_flux,none_flux,qc_none_flux,rand_err_none_flux,H_strg,LE_strg,co2_strg,h2o_strg,ch4_strg,none_strg,co2_v-adv,h2o_v-adv,ch4_v-adv,none_v-adv,co2_molar_density,co2_mole_fraction,co2_mixing_ratio,co2_time_lag,co2_def_timelag,h2o_molar_density,h2o_mole_fraction,h2o_mixing_ratio,h2o_time_lag,h2o_def_timelag,ch4_molar_density,ch4_mole_fraction,ch4_mixing_ratio,ch4_time_lag,ch4_def_timelag,none_molar_density,none_mole_fraction,none_mixing_ratio,none_time_lag,none_def_timelag,sonic_temperature,air_temperature,air_pressure,air_density,air_heat_capacity,air_molar_volume,ET,water_vapor_density,e,es,specific_humidity,RH,VPD,Tdew,u_unrot,v_unrot,w_unrot,u_rot,v_rot,w_rot,wind_speed,max_wind_speed,wind_dir,yaw,pitch,roll,u*,TKE,L,(z-d)/L,bowen_ratio,T*,model,x_peak,x_offset,x_10%,x_30%,x_50%,x_70%,x_90%,un_Tau,Tau_scf,un_H,H_scf,un_LE,LE_scf,un_co2_flux,co2_scf,un_h2o_flux,h2o_scf,un_ch4_flux,ch4_scf,un_none_flux,un_none_scf,spikes_hf,amplitude_resolution_hf,drop_out_hf,absolute_limits_hf,skewness_kurtosis_hf,skewness_kurtosis_sf,discontinuities_hf,discontinuities_sf,timelag_hf,timelag_sf,attack_angle_hf,non_steady_wind_hf,u_spikes,v_spikes,w_spikes,ts_spikes,co2_spikes,h2o_spikes,ch4_spikes,none_spikes,head_detect_LI-7200,t_out_LI-7200,t_in_LI-7200,aux_in_LI-7200,delta_p_LI-7200,chopper_LI-7200,detector_LI-7200,pll_LI-7200,sync_LI-7200,chopper_LI-7500,detector_LI-7500,pll_LI-7500,sync_LI-7500,not_ready_LI-7700,no_signal_LI-7700,re_unlocked_LI-7700,bad_temp_LI-7700,laser_temp_unregulated_LI-7700,block_temp_unregulated_LI-7700,motor_spinning_LI-7700,pump_on_LI-7700,top_heater_on_LI-7700,bottom_heater_on_LI-7700,calibrating_LI-7700,motor_failure_LI-7700,bad_aux_tc1_LI-7700,bad_aux_tc2_LI-7700,bad_aux_tc3_LI-7700,box_connected_LI-7700,mean_value_RSSI_LI-7200,mean_value_LI-7500,u_var,v_var,w_var,ts_var,co2_var,h2o_var,ch4_var,none_var,w/ts_cov,w/co2_cov,w/h2o_cov,w/ch4_cov,w/none_cov,diag_irga_mean,co2_sig_mean,h2o_sig_mean
,[yyyy-mm-dd],[HH:MM],[ddd.ddd],[1=daytime],[#],[#],[kg+1m-1s-2],[#],[kg+1m-1s-2],[W+1m-2],[#],[W+1m-2],[W+1m-2],[#],[W+1m-2],[µmol+1s-1m-2],[#],[µmol+1s-1m-2],[mmol+1s-1m-2],[#],[mmol+1s-1m-2],[µmol+1s-1m-2],[#],[µmol+1s-1m-2],[µmol+1s-1m-2],[#],[µmol+1s-1m-2],[W+1m-2],[W+1m-2],[µmol+1s-1m-2],[mmol+1s-1m-2],[µmol+1s-1m-2],[µmol+1s-1m-2],[µmol+1s-1m-2],[mmol+1s-1m-2],[µmol+1s-1m-2],[µmol+1s-1m-2],[mmol+1m-3],[µmol+1mol_a-1],[µmol+1mol_d-1],[s],[1=default],[mmol+1m-3],[mmol+1mol_a-1],[mmol+1mol_d-1],[s],[1=default],[mmol+1m-3],[µmol+1mol_a-1],[µmol+1mol_d-1],[s],[1=default],[mmol+1m-3],[µmol+1mol_a-1],[µmol+1mol_d-1],[s],[1=default],[K],[K],[Pa],[kg+1m-3],[J+1kg-1K-1],[m+3mol-1],[mm+1hour-1],[kg+1m-3],[Pa],[Pa],[kg+1kg-1],[%],[Pa],[K],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[deg_from_north],[deg],[deg],[deg],[m+1s-1],[m+2s-2],[m],[#],[#],[K],[0=KJ/1=KM/2=HS],[m],[m],[m],[m],[m],[m],[m],[kg+1m-1s-2],[#],[W+1m-2],[#],[W+1m-2],[#],[µmol+1s-1m-2],[#],[mmol+1s-1m-2],[#],[µmol+1s-1m-2],[#],[µmol+1s-1m-2],[#],8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8co2/h2o/ch4/none,8co2/h2o/ch4/none,8aa,8U,[#],[#],[#],[#],[#],[#],[#],[#],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#],[#],[m+2s-2],[m+2s-2],[m+2s-2],[K+2],--,--,--,--,[m+1s-1K+1],--,--,--,--,--,--,--
not_enough_data,1/1/2024,0:00,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
not_enough_data,1/1/2024,0:00,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
not_enough_data,1/1/2024,0:30,1.02,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
20240101T010000.dat,1/1/2024,1:00,1.0416,0,17999,17991,-4.79E-02,2,0.408233E-02,-2.55466,2,0.342846,9.70561,2,5.17256,-5.22E-02,2,0.424161,0.215007,2,0.114587,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-6.99E-11,-5.18E-13,-9999,-9999,27.988,646.285,649.393,0,1,207.253,4.78578,4.80879,0,0,-9999,-9999,-9999,-9999,9,-9999,-9999,-9999,-9999,9,272.088,271.077,97600.1,1.25207,1007.71,0.230915E-01,0.139324E-01,0.373469E-02,467.218,523.53,0.298281E-02,89.2437,56.3122,269.512,-2.77478,-0.785958,0.600131E-01,2.88457,0.517087E-13,-2.50E-15,2.88457,4.93656,165.142,195.815,1.19212,-9999,0.195546,0.358775,250.63,0.997427E-02,-0.263215,0.103543E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-4.75E-02,1.00767,-1.98747,1.01615,9.48756,1.02545,0.174044E-01,1.02545,0.210176,1.02545,-9999,-9999,-9999,-9999,800001199,800000099,800000099,899999999,800000199,800001199,800010199,800010199,89999,89999,89,81,11,45,6,32,1149,631,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.517425,0.15871,0.414161E-01,0.501494E-02,0.386456E-01,425.037,-9999,-9999,-1.58E-03,0.174044E-04,0.210176,-9999,-9999,-1.60E-04,0.332971,0.583453
20240101T013000.dat,1/1/2024,1:30,1.0624,0,17999,17992,-5.37E-02,2,0.400737E-02,-2.63219,2,0.497617,-0.608689,2,2.71842,-5.69E-02,2,0.42917,-1.35E-02,2,0.602062E-01,-9999,-9999,-9999,-9999,-9999,-9999,-0.446379,-3.89086,0.462485,-8.62E-02,-9999,-9999,0.422991E-10,0.216970E-12,-9999,-9999,28.3516,653.967,656.168,0,0,145.427,3.35447,3.36576,0,1,-9999,-9999,-9999,-9999,9,-9999,-9999,-9999,-9999,9,271.816,270.822,97614.9,1.25412,1006.93,0.230663E-01,-8.74E-04,0.262060E-02,327.534,513.763,0.208960E-02,63.752,186.229,264.861,-2.97574,-0.815787,0.798610E-01,3.08657,0.607370E-13,0.149195E-14,3.08657,5.38442,165.828,195.331,1.48262,-9999,0.20687,0.377332,287.966,0.868053E-02,4.32436,0.100759E-01,0,61.2405,-9.29348,21.0219,52.3475,79.8332,111.967,167.747,-5.33E-02,1.00782,-2.62207,1.01665,-0.542064,1.02591,0.165835,1.02591,-1.20E-02,1.02591,-9999,-9999,-9999,-9999,800001199,800000099,800000099,899999999,800000199,800000199,800010199,800010199,89999,89999,89,81,6,32,4,47,769,508,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.477105,0.224177,0.533837E-01,0.582320E-02,0.305504E-01,194.85,-9999,-9999,-2.08E-03,0.165835E-03,-1.20E-02,-9999,-9999,-2.36E-03,0.401492,0.635398
20240101T020000.dat,1/1/2024,2:00,1.0833,0,17999,17998,-3.53E-02,2,0.388118E-02,-1.8528,2,0.29987,3.70677,2,1.35434,8.44547,2,4.64451,0.820837E-01,2,0.299908E-01,-9999,-9999,-9999,-9999,-9999,-9999,-0.271752,-1.99634,-2.36983,-4.42E-02,-9999,-9999,0.117259E-09,0.499978E-12,-9999,-9999,26.6668,614.633,616.248,0.1,0,113.704,2.62072,2.6276,0,0,-9999,-9999,-9999,-9999,9,-9999,-9999,-9999,-9999,9,271.643,270.667,97634.2,1.25543,1006.53,0.230486E-01,0.531903E-02,0.204895E-02,255.94,507.9,0.163207E-02,50.3919,251.959,261.737,-2.02501,-0.297563,0.637018E-01,2.04774,0.189074E-13,0.439719E-14,2.04774,4.6094,173.853,188.359,1.78266,-9999,0.167741,0.322484,218.106,0.114602E-01,-0.499841,0.874115E-02,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-3.51E-02,1.0075,-1.6247,1.01487,3.63581,1.0245,8.33529,1.0245,0.805124E-01,1.0245,-9999,-9999,-9999,-9999,800000199,800000099,800000099,899999999,800001099,800001099,800010199,800010199,89999,89999,89,81,5,18,0,18,82,282,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.443647,0.164864,0.364569E-01,0.298086E-02,0.616814,28.1628,-9999,-9999,-1.29E-03,0.833529E-02,0.805124E-01,-9999,-9999,-2.36E-03,0.508357,0.704513
20240101T023000.dat,1/1/2024,2:30,1.1041,0,17999,17994,-3.15E-02,2,0.239583E-02,-1.37484,2,0.181589,1.39118,2,0.697679,1.46927,2,4.49619,0.308055E-01,2,0.154490E-01,-9999,-9999,-9999,-9999,-9999,-9999,-6.47E-02,0.217922,-4.28352,0.482555E-02,-9999,-9999,-1.10E-11,-5.47E-14,-9999,-9999,23.5928,543.56,545.032,0.1,0,117.225,2.70078,2.7081,0,0,-9999,-9999,-9999,-9999,9,-9999,-9999,-9999,-9999,9,271.612,270.631,97660.4,1.2559,1006.57,0.230393E-01,0.199620E-02,0.211240E-02,263.83,506.512,0.168198E-02,52.0876,242.682,262.117,-2.42481,-0.531935,0.590755E-01,2.48317,-7.67E-16,-4.66E-16,2.48317,4.6165,168.599,192.373,1.36322,-9999,0.158372,0.24441,247.429,0.101015E-01,-0.988252,0.686707E-02,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-3.13E-02,1.00754,-1.27848,1.0155,1.37437,1.02498,1.50962,1.02498,0.304332E-01,1.02498,-9999,-9999,-9999,-9999,800001199,800000099,800000099,899999999,800000099,800000099,800010199,800010199,89999,89999,89,81,3,19,1,58,311,773,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.322064,0.130878,0.358786E-01,0.153262E-02,0.67996,19.2015,-9999,-9999,-1.01E-03,0.150962E-02,0.304332E-01,-9999,-9999,-2.36E-03,0.625324,0.771299
20240101T030000.dat,1/1/2024,3:00,1.1249,0,17999,17998,-4.78E-02,2,0.367630E-02,-3.21412,2,0.395184,1.87532,2,0.946925,-2.47903,2,6.33244,0.415205E-01,2,0.209654E-01,-9999,-9999,-9999,-9999,-9999,-9999,-0.253776,0.361722,-4.94605,0.800869E-02,-9999,-9999,-1.60E-11,-9.83E-14,-9999,-9999,20.0484,461.551,462.862,-0.2,0,123.082,2.83357,2.84162,0,0,-9999,-9999,-9999,-9999,9,-9999,-9999,-9999,-9999,9,271.457,270.486,97682.1,1.25679,1006.64,0.230218E-01,0.269053E-02,0.221794E-02,276.864,501.11,0.176477E-02,55.2501,224.246,262.723,-2.94217,-0.703093,0.670736E-01,3.02576,0.124650E-13,-7.99E-16,3.02576,5.57811,167.696,193.44,1.27021,-9999,0.19493,0.394391,197.387,0.126617E-01,-1.7139,0.130330E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-4.74E-02,1.0079,-3.05968,1.01678,1.87322,1.02616,-2.25101,1.02616,0.414739E-01,1.02616,-9999,-9999,-9999,-9999,800000199,800000099,800000099,899999999,800000099,800000199,800010199,800010199,89999,89999,89,81,7,23,1,33,151,608,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.522168,0.213652,0.529631E-01,0.430883E-02,1.20249,22.2263,-9999,-9999,-2.42E-03,-2.25E-03,0.414739E-01,-9999,-9999,-2.36E-03,0.757627,0.835953
20240101T033000.dat,1/1/2024,3:30,1.1458,0,17999,17998,-4.94E-02,2,0.417985E-02,-3.01319,2,0.431042,1.66624,2,0.834152,0.352246,2,0.617437,0.368861E-01,2,0.184659E-01,-9999,-9999,-9999,-9999,-9999,-9999,-0.261101,1.39441,-2.29809,0.308685E-01,-9999,-9999,-5.12E-11,-4.05E-13,-9999,-9999,18.4077,423.472,424.893,0,0,145.404,3.34506,3.35628,0,0,-9999,-9999,-9999,-9999,9,-9999,-9999,-9999,-9999,9,271.295,270.338,97699.1,1.25745,1006.92,0.230052E-01,0.239022E-02,0.262019E-02,326.896,495.609,0.208372E-02,65.9586,168.712,264.836,-2.84931,-0.772584,0.778667E-01,2.95322,0.136199E-13,-2.78E-15,2.95322,5.52757,165.87,195.171,1.51088,-9999,0.198305,0.408362,221.72,0.112714E-01,-1.80838,0.120007E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-4.91E-02,1.00781,-2.87417,1.01652,1.67511,1.02589,0.486081,1.02589,0.370826E-01,1.02589,-9999,-9999,-9999,-9999,800001199,800000099,800000099,899999999,800000099,800001099,800010199,800010199,89999,89999,89,81,8,19,4,67,558,467,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.57917,0.189617,0.479381E-01,0.483426E-02,0.177503E-01,22.6788,-9999,-9999,-2.27E-03,0.486081E-03,0.370826E-01,-9999,-9999,-2.36E-03,0.850116,0.884262
