file_info,,,,,,,corrected_fluxes_and_quality_flags,,,,,,,,,,,,,,,,,,,,,storage_fluxes,,,,,,vertical_advection_fluxes,,,,gas_densities_concentrations_and_timelags,,,,,,,,,,,,,,,,,,,,air_properties,,,,,,,,,,,,,,unrotated_wind,,,rotated_wind,,,,,,rotation_angles_for_tilt_correction,,,turbulence,,,,,,footprint,,,,,,,,uncorrected_fluxes_and_spectral_correction_factors_(scf),,,,,,,,,,,,,,statistical_flags,,,,,,,,,,,,spikes,,,,,,,,diagnostic_flags_LI-7200,,,,,,,,,diagnostic_flags_LI-7500,,,,diagnostic_flags_LI-7700,,,,,,,,,,,,,,,,AGC_LI-7200,AGC_LI-7500,variances,,,,,,,,covariances,,,,,custom_variables,
filename,date,time,DOY,daytime,file_records,used_records,Tau,qc_Tau,rand_err_Tau,H,qc_H,rand_err_H,LE,qc_LE,rand_err_LE,co2_flux,qc_co2_flux,rand_err_co2_flux,h2o_flux,qc_h2o_flux,rand_err_h2o_flux,ch4_flux,qc_ch4_flux,rand_err_ch4_flux,none_flux,qc_none_flux,rand_err_none_flux,H_strg,LE_strg,co2_strg,h2o_strg,ch4_strg,none_strg,co2_v-adv,h2o_v-adv,ch4_v-adv,none_v-adv,co2_molar_density,co2_mole_fraction,co2_mixing_ratio,co2_time_lag,co2_def_timelag,h2o_molar_density,h2o_mole_fraction,h2o_mixing_ratio,h2o_time_lag,h2o_def_timelag,ch4_molar_density,ch4_mole_fraction,ch4_mixing_ratio,ch4_time_lag,ch4_def_timelag,none_molar_density,none_mole_fraction,none_mixing_ratio,none_time_lag,none_def_timelag,sonic_temperature,air_temperature,air_pressure,air_density,air_heat_capacity,air_molar_volume,ET,water_vapor_density,e,es,specific_humidity,RH,VPD,Tdew,u_unrot,v_unrot,w_unrot,u_rot,v_rot,w_rot,wind_speed,max_wind_speed,wind_dir,yaw,pitch,roll,u*,TKE,L,(z-d)/L,bowen_ratio,T*,model,x_peak,x_offset,x_10%,x_30%,x_50%,x_70%,x_90%,un_Tau,Tau_scf,un_H,H_scf,un_LE,LE_scf,un_co2_flux,co2_scf,un_h2o_flux,h2o_scf,un_ch4_flux,ch4_scf,un_none_flux,un_none_scf,spikes_hf,amplitude_resolution_hf,drop_out_hf,absolute_limits_hf,skewness_kurtosis_hf,skewness_kurtosis_sf,discontinuities_hf,discontinuities_sf,timelag_hf,timelag_sf,attack_angle_hf,non_steady_wind_hf,u_spikes,v_spikes,w_spikes,ts_spikes,co2_spikes,h2o_spikes,ch4_spikes,none_spikes,head_detect_LI-7200,t_out_LI-7200,t_in_LI-7200,aux_in_LI-7200,delta_p_LI-7200,chopper_LI-7200,detector_LI-7200,pll_LI-7200,sync_LI-7200,chopper_LI-7500,detector_LI-7500,pll_LI-7500,sync_LI-7500,not_ready_LI-7700,no_signal_LI-7700,re_unlocked_LI-7700,bad_temp_LI-7700,laser_temp_unregulated_LI-7700,block_temp_unregulated_LI-7700,motor_spinning_LI-7700,pump_on_LI-7700,top_heater_on_LI-7700,bottom_heater_on_LI-7700,calibrating_LI-7700,motor_failure_LI-7700,bad_aux_tc1_LI-7700,bad_aux_tc2_LI-7700,bad_aux_tc3_LI-7700,box_connected_LI-7700,mean_value_RSSI_LI-7200,mean_value_LI-7500,u_var,v_var,w_var,ts_var,co2_var,h2o_var,ch4_var,none_var,w/ts_cov,w/co2_cov,w/h2o_cov,w/ch4_cov,w/none_cov,diag_75_mean
,[yyyy-mm-dd],[HH:MM],[ddd.ddd],[1=daytime],[#],[#],[kg+1m-1s-2],[#],[kg+1m-1s-2],[W+1m-2],[#],[W+1m-2],[W+1m-2],[#],[W+1m-2],[µmol+1s-1m-2],[#],[µmol+1s-1m-2],[mmol+1s-1m-2],[#],[mmol+1s-1m-2],[µmol+1s-1m-2],[#],[µmol+1s-1m-2],[µmol+1s-1m-2],[#],[µmol+1s-1m-2],[W+1m-2],[W+1m-2],[µmol+1s-1m-2],[mmol+1s-1m-2],[µmol+1s-1m-2],[µmol+1s-1m-2],[µmol+1s-1m-2],[mmol+1s-1m-2],[µmol+1s-1m-2],[µmol+1s-1m-2],[mmol+1m-3],[µmol+1mol_a-1],[µmol+1mol_d-1],[s],[1=default],[mmol+1m-3],[mmol+1mol_a-1],[mmol+1mol_d-1],[s],[1=default],[mmol+1m-3],[µmol+1mol_a-1],[µmol+1mol_d-1],[s],[1=default],[mmol+1m-3],[µmol+1mol_a-1],[µmol+1mol_d-1],[s],[1=default],[K],[K],[Pa],[kg+1m-3],[J+1kg-1K-1],[m+3mol-1],[mm+1hour-1],[kg+1m-3],[Pa],[Pa],[kg+1kg-1],[%],[Pa],[K],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[deg_from_north],[deg],[deg],[deg],[m+1s-1],[m+2s-2],[m],[#],[#],[K],[0=KJ/1=KM/2=HS],[m],[m],[m],[m],[m],[m],[m],[kg+1m-1s-2],[#],[W+1m-2],[#],[W+1m-2],[#],[µmol+1s-1m-2],[#],[mmol+1s-1m-2],[#],[µmol+1s-1m-2],[#],[µmol+1s-1m-2],[#],8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8co2/h2o/ch4/none,8co2/h2o/ch4/none,8aa,8U,[#],[#],[#],[#],[#],[#],[#],[#],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#],[#],[m+2s-2],[m+2s-2],[m+2s-2],[K+2],--,--,--,--,[m+1s-1K+1],--,--,--,--,--
20240301T003000.dat,2024-03-01,00:30,61.0208,0,18000,18000,0.541010E-03,1,-9999,-0.756962E-01,2,-9999,-0.217823E-02,2,-9999,-0.255091E-01,2,-9999,-0.480427E-04,2,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.197078E-10,0.218297E-12,-9999,-9999,18.6310,419.543,421.502,0.00000,1,206.369,4.64713,4.66882,0.00000,1,-9999,-9999,-9999,-9999,9,-9999,-9999,-9999,-9999,9,266.821,266.428,98512.1,1.28590,1007.57,0.225185E-01,-0.311317E-05,0.371877E-02,457.246,368.776,0.289197E-02,100.000,0.00000,269.224,0.218889,-0.260942,0.851951E-03,0.340593,-0.255195E-13,0.105780E-14,0.340593,0.622377,315.865,309.991,0.143319,-9999,0.205116E-01,0.199990E-01,9.82645,0.230459,34.7512,0.284834E-02,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.531538E-03,1.01782,-0.735032E-01,1.03144,-0.111040E-03,1.04766,-0.204297E-01,1.04766,-0.244907E-05,1.04766,-9999,-9999,-9999,-9999,800000099,800000099,800000099,800000099,800000099,800101199,899999999,899999999,89999,89999,89,89,4,6,3,3,2,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.115539E-01,0.280048E-01,0.439227E-03,0.350315E-02,0.875152E-03,4.42872,-9999,-9999,-0.567315E-04,-0.204297E-04,-0.244907E-05,-9999,-9999,248.000
20240301T010000.dat,2024-03-01,01:00,61.0416,0,18000,18000,0.688964E-02,1,-9999,-1.18841,1,-9999,1.27180,1,-9999,0.483095,1,-9999,0.280461E-01,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.321836,0.954208E-02,0.422303E-01,0.210424E-03,-9999,-9999,-0.135018E-10,-0.149423E-12,-9999,-9999,18.6731,420.211,422.174,0.00000,1,206.654,4.65046,4.67218,-0.200000,0,-9999,-9999,-9999,-9999,9,-9999,-9999,-9999,-9999,9,266.646,266.253,98513.3,1.28675,1007.57,0.225035E-01,0.181739E-02,0.372391E-02,457.578,363.859,0.289404E-02,100.000,0.00000,269.234,-0.346692,0.227161,-0.236474E-01,0.415159,-0.278214E-13,-0.723059E-15,0.415159,0.963049,121.139,146.766,-3.26533,-9999,0.731730E-01,0.543989E-01,28.4158,0.796933E-01,-0.934431,0.125269E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.679513E-02,1.01391,-1.09627,1.02187,1.25489,1.03448,0.517760,1.03448,0.276731E-01,1.03448,-9999,-9999,-9999,-9999,800000099,800000099,800000099,800000099,800000099,800010099,899999999,899999999,89999,89999,89,89,1,8,4,5,4,7,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.941142E-01,0.136709E-01,0.101268E-02,0.918173E-02,0.299157E-02,6.69327,-9999,-9999,-0.845566E-03,0.517760E-03,0.276731E-01,-9999,-9999,248.000
20240301T013000.dat,2024-03-01,01:30,61.0624,0,18000,18000,0.761571E-02,1,-9999,-0.991366,1,-9999,0.157444,1,-9999,-0.793916E-01,2,-9999,0.347195E-02,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.163528E-01,-0.176380E-01,-0.491553E-02,-0.388954E-03,-9999,-9999,-0.423767E-11,-0.468447E-13,-9999,-9999,18.6725,420.133,422.094,0.00000,1,206.413,4.64430,4.66597,-0.100000,0,-9999,-9999,-9999,-9999,9,-9999,-9999,-9999,-9999,9,266.637,266.245,98524.9,1.28695,1007.57,0.225001E-01,0.224982E-03,0.371955E-02,457.028,363.610,0.289021E-02,100.000,0.00000,269.218,-0.662793,0.484288,-0.325536E-01,0.821516,0.623048E-14,-0.226947E-15,0.821516,1.25430,123.901,143.845,-2.27101,-9999,0.769262E-01,0.354024E-01,39.5822,0.572101E-01,-6.29665,0.993855E-02,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.753588E-02,1.01059,-0.964563,1.01905,0.178059,1.03108,-0.264087E-01,1.03108,0.392655E-02,1.03108,-9999,-9999,-9999,-9999,800000099,800000099,800000099,800000099,800000099,801000099,899999999,899999999,89999,89999,89,89,0,2,3,21,4,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.523480E-01,0.172042E-01,0.125260E-02,0.643462E-02,0.841297E-03,5.59576,-9999,-9999,-0.743865E-03,-0.264087E-04,0.392655E-02,-9999,-9999,248.000
20240301T020000.dat,2024-03-01,02:00,61.0833,0,18000,18000,-0.276807E-02,1,-9999,-1.92368,0,-9999,2.33735,0,-9999,0.675922,1,-9999,0.515423E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.385776E-01,0.431931,0.135982,0.952476E-02,-9999,-9999,0.354584E-10,0.402626E-12,-9999,-9999,18.7675,422.285,424.319,-0.100000,0,213.102,4.79499,4.81809,-0.100000,0,-9999,-9999,-9999,-9999,9,-9999,-9999,-9999,-9999,9,266.629,266.224,98518.5,1.28689,1007.65,0.225009E-01,0.333994E-02,0.384010E-02,471.802,363.024,0.298401E-02,100.000,0.00000,269.642,-0.512095,1.04225,0.941484E-02,1.16130,0.330580E-13,0.188936E-14,1.16130,2.09644,153.589,116.167,0.464512,-9999,0.463785E-01,0.597995E-01,4.47010,0.506577,-0.823017,0.319863E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.271208E-02,1.02064,-1.72652,1.04214,2.24055,1.06224,0.714303,1.06224,0.494077E-01,1.06224,-9999,-9999,-9999,-9999,800000099,800000099,800000099,800000099,800000099,800100099,899999999,899999999,89999,89999,89,89,9,1,1,6,3,4,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.613311E-01,0.535174E-01,0.475060E-02,0.707978E-02,0.293065E-02,7.61928,-9999,-9999,-0.133143E-02,0.714303E-03,0.494077E-01,-9999,-9999,248.000
20240301T023000.dat,2024-03-01,02:30,61.1041,0,18000,18000,-0.488427E-02,0,-9999,0.630884,2,-9999,3.30821,0,-9999,0.215635,2,-9999,0.729906E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.05425,0.473811,0.483840E-01,0.104539E-01,-9999,-9999,-0.536282E-10,-0.628851E-12,-9999,-9999,18.7574,423.052,425.161,0.00000,0,219.951,4.96076,4.98549,0.00000,0,-9999,-9999,-9999,-9999,9,-9999,-9999,-9999,-9999,9,267.217,266.797,98503.5,1.28385,1007.75,0.225539E-01,0.472979E-02,0.396352E-02,488.014,379.352,0.308720E-02,100.000,0.00000,270.095,-0.268015E-01,0.734641,0.135218E-01,0.735254,-0.155232E-13,-0.285905E-14,0.735254,1.47334,178.451,92.0894,1.05376,-9999,0.616797E-01,0.389763E-01,-32.0585,-0.706335E-01,0.190703,-0.790571E-02,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-0.481353E-02,1.01470,0.794759,1.01837,3.18669,1.02727,0.146521,1.02727,0.703095E-01,1.02727,-9999,-9999,-9999,-9999,800000099,800000099,800000099,800000099,800000099,800000099,899999999,899999999,89999,89999,89,89,7,0,6,15,4,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.425048E-01,0.298395E-01,0.560828E-02,0.310228E-01,0.152470E-02,10.9800,-9999,-9999,0.614284E-03,0.146521E-03,0.703095E-01,-9999,-9999,248.000
20240301T030000.dat,2024-03-01,03:00,61.1249,0,18000,18000,0.101340E-02,2,-9999,0.259965,2,-9999,0.646561,1,-9999,-0.102213,2,-9999,0.142662E-01,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.111385,-0.116817,-0.434817E-01,-0.257754E-02,-9999,-9999,0.106835E-10,0.124446E-12,-9999,-9999,18.7193,422.362,424.450,0.00000,1,218.052,4.91987,4.94420,0.100000,0,-9999,-9999,-9999,-9999,9,-9999,-9999,-9999,-9999,9,267.274,266.857,98485.5,1.28335,1007.72,0.225629E-01,0.924450E-03,0.392929E-02,483.909,381.116,0.306175E-02,100.000,0.00000,269.981,0.154941,0.628893,0.806564E-02,0.647749,0.161349E-13,0.570720E-15,0.647749,1.53559,194.820,76.1596,0.713454,-9999,0.281008E-01,0.246203E-01,-7.35610,-0.307820,0.402074,-0.715337E-02,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.997450E-03,1.01599,0.289308,1.01918,0.618549,1.02812,-0.118986,1.02812,0.136481E-01,1.02812,-9999,-9999,-9999,-9999,800000099,800000099,800000099,800000099,800000099,800100199,899999999,899999999,89999,89999,89,89,5,0,0,3,5,10,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.416158E-01,0.640517E-02,0.121975E-02,0.119347E-01,0.849755E-03,1.63254,-9999,-9999,0.223704E-03,-0.118986E-03,0.136481E-01,-9999,-9999,248.000
20240301T033000.dat,2024-03-01,03:30,61.1458,0,18000,18000,0.109629E-02,2,-9999,-0.811340E-01,2,-9999,0.197797,1,-9999,0.104428,1,-9999,0.436456E-02,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.955956E-01,0.168171,0.111024,0.371082E-02,-9999,-9999,-0.141948E-10,-0.166632E-12,-9999,-9999,18.7911,424.124,426.246,-0.100000,0,220.588,4.97876,5.00367,-0.100000,0,-9999,-9999,-9999,-9999,9,-9999,-9999,-9999,-9999,9,267.331,266.909,98473.5,1.28291,1007.76,0.225704E-01,0.282823E-03,0.397499E-02,489.632,382.635,0.309841E-02,100.000,0.00000,270.139,-0.115802E-01,0.631055,0.424240E-02,0.631175,-0.261577E-14,-0.755401E-15,0.631175,1.20190,179.384,91.0513,0.385112,-9999,0.292323E-01,0.312485E-01,26.5315,0.853443E-01,-0.410188,0.214677E-02,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.108343E-02,1.01187,-0.690724E-01,1.02062,0.192771,1.03317,0.103563,1.03317,0.425364E-02,1.03317,-9999,-9999,-9999,-9999,800000099,800000099,800000099,800000099,800000099,800000099,899999999,899999999,89999,89999,89,89,0,0,2,1,10,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.561037E-01,0.586193E-02,0.531367E-03,0.179998E-01,0.119401E-02,9.04633,-9999,-9999,-0.534258E-04,0.103563E-03,0.425364E-02,-9999,-9999,248.000
20240301T040000.dat,2024-03-01,04:00,61.1666,0,18000,18000,0.156016E-02,1,-9999,-0.636425,1,-9999,1.00108,1,-9999,-0.399009E-02,2,-9999,0.220967E-01,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.619857,0.223171,0.285657E-01,0.492602E-02,-9999,-9999,0.394819E-11,0.470259E-13,-9999,-9999,18.7838,424.578,426.736,0.00000,1,223.730,5.05705,5.08275,-0.100000,0,-9999,-9999,-9999,-9999,9,-9999,-9999,-9999,-9999,9,267.676,267.247,98456.9,1.28104,1007.80,0.226034E-01,0.143186E-02,0.403161E-02,497.235,392.635,0.314714E-02,100.000,0.00000,270.346,-0.375946,0.682315,-0.221695E-02,0.779034,0.774096E-13,0.210191E-15,0.779034,1.24124,151.941,118.854,-0.163051,-9999,0.348983E-01,0.376825E-01,5.75432,0.393489,-0.635739,0.141255E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.153228E-02,1.01820,-0.562325,1.03642,0.961923,1.05489,0.201820E-01,1.05489,0.212324E-01,1.05489,-9999,-9999,-9999,-9999,800000099,800000099,800000099,800000099,800000099,800000099,899999999,899999999,89999,89999,89,89,8,2,3,9,6,4,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.395731E-01,0.344767E-01,0.131523E-02,0.695489E-02,0.982127E-03,6.41840,-9999,-9999,-0.435562E-03,0.201820E-04,0.212324E-01,-9999,-9999,248.000
20240301T043000.dat,2024-03-01,04:30,61.1874,0,18000,18000,0.559968E-02,1,-9999,1.39721,1,-9999,-1.40463,1,-9999,-0.730594E-01,1,-9999,-0.310080E-01,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.248231,0.152905E-02,0.856897E-01,0.337548E-04,-9999,-9999,-0.470794E-10,-0.559017E-12,-9999,-9999,18.8365,425.940,428.106,0.00000,0,223.663,5.05758,5.08329,0.00000,0,-9999,-9999,-9999,-9999,9,-9999,-9999,-9999,-9999,9,267.811,267.382,98466.9,1.28052,1007.81,0.226125E-01,-0.200932E-02,0.403041E-02,497.338,396.707,0.314748E-02,100.000,0.00000,270.349,-0.714553,0.364706,-0.636611E-01,0.804766,0.290020E-14,-0.249937E-14,0.804766,1.27966,116.776,152.960,-4.53713,-9999,0.661284E-01,0.130114E-01,-17.8347,-0.126956,-0.994717,-0.163723E-01,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.552309E-02,1.01387,1.29806,1.01786,-1.40109,1.02674,-0.132597,1.02674,-0.309299E-01,1.02674,-9999,-9999,-9999,-9999,800000099,800000099,800000099,800000099,800000099,800000099,899999999,899999999,89999,89999,89,89,3,22,0,5,23,2,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.210878E-01,0.338312E-02,0.155187E-02,0.862136E-02,0.121341E-02,10.8752,-9999,-9999,0.100584E-02,-0.132597E-03,-0.309299E-01,-9999,-9999,248.000
