%ERS4 CO2 fluxes for plot 4 year 2024
% Year, Date, Plot,CO2 flux, flux_l, grad, K, u*, cup1, H, Ts,int_z_l,int_z_u,d, z0, fetch_intake_big,fetch_intake_small,BL, Filter, TGA_F,u* info
% , doy, ,ug CO2/(m2s), ug CO2/(m2s), ug/m3, m2/s, m/s,m/s, W/m2,oC,m,m,m,m,m,m, , ,
2024.000000,1.083333,4.000000,NaN,NaN,NaN,NaN,0.156662,2.602000,-0.607804,271.080000,NaN,NaN,0.050000,0.005000,1000.000000,1000.000000,1000.000000,% tga filt,% pressure difference between intakes over 0.2 mb,%      
2024.000000,1.166667,4.000000,NaN,NaN,NaN,NaN,0.133331,2.414000,-1.151910,270.592000,NaN,NaN,0.050000,0.005000,1000.000000,1000.000000,1000.000000,% tga filt,% pressure difference between intakes over 0.2 mb,%      
2024.000000,1.250000,4.000000,NaN,NaN,NaN,NaN,0.118678,1.844000,-0.834443,270.560000,NaN,NaN,0.050000,0.005000,1000.000000,1000.000000,1000.000000,% tga filt,% pressure difference between intakes over 0.2 mb,%      
2024.000000,1.333333,4.000000,NaN,NaN,NaN,NaN,0.176990,3.005000,3.187457,270.239000,NaN,NaN,0.050000,0.005000,1000.000000,1000.000000,1000.000000,% tga filt,% pressure difference between intakes over 0.2 mb,%      
2024.000000,1.416667,4.000000,NaN,NaN,NaN,0.084993,0.172285,2.838000,9.768905,270.053000,0.885000,1.377000,0.050000,0.005000,69.916254,69.916254,167.000000,% tga filt,% pressure difference between intakes over 0.2 mb,%      
2024.000000,1.500000,4.000000,NaN,NaN,NaN,0.091158,0.168781,2.928000,16.272010,270.005000,0.885000,1.377000,0.050000,0.005000,59.292381,59.292381,167.000000,% tga filt,% pressure difference between intakes over 0.2 mb,%      
2024.000000,1.583333,4.000000,-69.857420,-69.857420,-328.368805,0.104668,0.208334,3.450000,19.767820,270.212000,0.885000,1.377000,0.050000,0.005000,57.490812,57.490812,167.000000,%         ,,%      
2024.000000,1.666667,4.000000,-49.641730,-49.641730,-197.103952,0.123913,0.237181,3.763000,10.794010,269.276000,0.885000,1.377000,0.050000,0.005000,57.490812,57.490812,167.000000,%         ,,%      
2024.000000,1.750000,4.000000,NaN,NaN,NaN,0.086605,0.203859,3.024000,-0.670485,269.238000,0.885000,1.377000,0.050000,0.005000,57.490812,57.490812,167.000000,% tga filt,% pressure difference between intakes over 0.2 mb,%      
2024.000000,1.833333,4.000000,NaN,NaN,NaN,0.091296,0.214901,3.890000,6.264800,269.696000,0.885000,1.377000,0.050000,0.005000,59.292381,59.292381,167.000000,% tga filt,% pressure difference between intakes over 0.2 mb,%      
