Year	DoY	Hour	NEE	LE	H	Ustar	Tair	RH	VPD	Rg
-    -    -    umolm-2s-1    Wm-2    Wm-2    ms-1    degC    %    hPa    Wm-2
2024	1	0	-9999	-9999	-9999	-9999	-9999	-9999	-99.99	0
2024	1	0.5	-9999	-9999	-9999	-9999	-9999	-9999	-99.99	0
2024	1	1	-1.56825	21.9185	-2.46294	0.187803	-2.596	-9999	-99.99	0
2024	1	1.5	0.871716	-10.1444	-0.818228	0.187142	-2.42699999999996	100	0	0
2024	1	2	0.485622	10.8927	-1.35271	0.155692	-2.435	80.9812	0.969356	0
2024	1	2.5	0.657089	6.8731	-0.831595	0.17438	-2.35699999999997	52.7686	2.42128	0
2024	1	3	0.519771	5.07194	-2.14931	0.176883	-2.41499999999996	32.5504	3.44301	0
2024	1	3.5	0.701417	4.66842	-1.12669	0.177711	-2.50199999999995	21.699	3.97116	0
2024	1	4	0.339549	2.59554	-1.21743	0.124737	-2.66999999999996	25.4971	3.73167	0
2024	1	4.5	0.610896	6.22796	0.114558	0.186062	-2.64400000000001	22.9631	3.86613	0
2024	1	5	0.53471	5.84052	-0.75519	0.144323	-2.548	12.8286	4.40604	0
2024	1	5.5	0.556788	5.43383	-0.574558	0.149592	-2.53099999999995	5.41221	4.78669	0
2024	1	6	0.612622	-9999	-0.630834	0.116988	-2.58999999999997	-9999	-99.99	0
2024	1	6.5	0.519987	-9999	0.183969	0.133249	-2.69999999999999	-9999	-99.99	0
2024	1	7	0.920301E-01	-9999	0.250235	0.132632	-2.71499999999997	-9999	-99.99	0
2024	1	7.5	0.135753	-9999	2.17773	0.181545	-2.64099999999996	-9999	-99.99	0.675226
2024	1	8	-8.73E-02	-9999	3.62954	0.189532	-2.911	-9999	-99.99	10.167904
2024	1	8.5	0.31268	8.44336	2.47818	0.17849	-3.08499999999998	12.911	4.22947	33.287262
2024	1	9	0.256605	14.7868	3.75545	0.158103	-3.23699999999997	48.8711	2.45509	54.921364
2024	1	9.5	-0.126846	20.0415	6.02004	0.178111	-3.50599999999997	100	0	82.379338
2024	1	10	-4.20E-02	15.6398	10.9529	0.187348	-3.63999999999999	-9999	-99.99	98.975226
2024	1	10.5	-0.147034	16.4506	15.381	0.180339	-3.78299999999996	-9999	-99.99	108.958676
2024	1	11	-9.40E-02	18.0256	14.3689	0.181439	-3.70599999999996	-9999	-99.99	152.162688
2024	1	11.5	-0.163951	19.5609	16.3267	0.183128	-3.673	-9999	-99.99	161.108425
2024	1	12	-0.280007	23.3734	19.8053	0.200105	-3.69099999999997	-9999	-99.99	184.929789
2024	1	12.5	-0.460017	24.9468	23.288	0.208165	-3.63999999999999	-9999	-99.99	201.718756
2024	1	13	-0.588589	30.7682	23.7317	0.196625	-3.47199999999998	-9999	-99.99	194.160281
2024	1	13.5	-0.532272	40.8987	22.6354	0.25017	-3.34499999999997	100	0	183.671214
2024	1	14	-0.474033	40.1365	20.7487	0.264913	-3.447	100	0	133.963892
2024	1	14.5	-8.10E-02	33.1105	14.7179	0.236643	-3.65999999999997	100	0	127.526179
2024	1	15	-0.319145	36.5974	17.2209	0.2382	-3.81399999999996	100	0	112.757071
2024	1	15.5	0.566471E-01	38.51	16.2544	0.238886	-4.17099999999999	100	0	76.226881
2024	1	16	0.267474	37.0746	11.5348	0.27079	-4.34199999999998	100	0	41.458877
2024	1	16.5	0.411481	34.1747	7.18293	0.276487	-4.589	100	0	9.32317
2024	1	17	0.477045	29.5225	0.559171	0.267919	-4.63200000000001	100	0	0.509629
2024	1	17.5	0.62127	26.6462	-1.83597	0.239476	-4.48599999999999	100	0	0
2024	1	18	0.626046	23.7781	-2.4377	0.242155	-4.38399999999996	100	0	0
2024	1	18.5	0.6867	27.6653	-1.46372	0.284703	-4.28499999999997	100	0	0
2024	1	19	0.545792	25.3041	1.0366	0.292096	-4.17699999999996	100	0	0
2024	1	19.5	0.493089	19.43	1.84908	0.282619	-4.041	100	0	0
2024	1	20	0.521093	20.9355	3.52257	0.266105	-3.97399999999999	-9999	-99.99	0
2024	1	20.5	0.491977	16.2095	1.99582	0.246594	-3.96499999999997	-9999	-99.99	0
2024	1	21	0.477593	17.7725	2.06615	0.285659	-3.80099999999999	-9999	-99.99	0
2024	1	21.5	0.538172	22.3782	3.2623	0.300144	-3.87899999999996	-9999	-99.99	0
2024	1	22	0.546143	22.7905	3.29379	0.330535	-3.82899999999995	-9999	-99.99	0
2024	1	22.5	0.510881	20.272	4.03807	0.313503	-3.87099999999998	-9999	-99.99	0
2024	1	23	0.445737	23.4556	4.18216	0.315896	-4.06399999999996	-9999	-99.99	0
2024	1	23.5	0.532652	20.038	4.58444	0.280478	-4.15499999999997	-9999	-99.99	0
2024	2	0	0.574967	21.0041	4.01628	0.298714	-4.02799999999996	-9999	-99.99	0
2024	2	0.5	0.502243	15.8151	1.34293	0.248504	-3.827	-9999	-99.99	0
2024	2	1	0.654897	22.7432	0.619520E-01	0.335776	-3.63299999999998	100	0	0
2024	2	1.5	0.75065	25.8029	-0.101123	0.345034	-3.565	100	0	0
2024	2	2	0.584557	23.8852	1.15706	0.352465	-3.59699999999998	-9999	-99.99	0
2024	2	2.5	0.763922	29.3933	0.202505	0.41932	-3.63399999999996	-9999	-99.99	0
2024	2	3	0.716281	22.9944	1.31107	0.359078	-3.61099999999999	-9999	-99.99	0
2024	2	3.5	0.690805	24.5302	-0.470565	0.392093	-3.50599999999997	-9999	-99.99	0
2024	2	4	0.531711	17.0676	0.719239	0.303581	-3.42899999999997	-9999	-99.99	0
2024	2	4.5	0.532999	21.4156	-0.125528	0.376843	-3.41799999999995	-9999	-99.99	0
2024	2	5	0.74647	28.462	-0.984148	0.414293	-3.44899999999996	100	0	0
2024	2	5.5	0.78499	30.1933	-4.17062	0.417159	-3.39599999999996	100	0	0
2024	2	6	0.810619	28.7424	-3.56367	0.390758	-3.358	100	0	0
2024	2	6.5	0.839075	25.413	-3.49282	0.349621	-3.32099999999997	100	0	0
2024	2	7	0.870872	25.772	-3.15419	0.370961	-3.298	100	0	0
2024	2	7.5	0.703986	26.4675	-4.51631	0.38895	-3.214	100	0	1.158275
2024	2	8	0.593021	22.1905	-3.96396	0.352533	-3.10499999999996	100	0	12.445436
2024	2	8.5	0.752295	36.1962	-6.18576	0.444581	-3.08999999999997	100	0	35.905216
2024	2	9	0.717941	37.6437	-1.98039	0.450929	-3.101	100	0	68.445236
2024	2	9.5	0.595135	39.7145	3.18624	0.421097	-3.11899999999997	100	0	97.57663
