"date","Year","DOY","Plot","rotation","N2O_non_gapfill","N2O_gapfill","N2O_gapfill_kean_Nicole"
"2015-01-01",2015,1,"P1","Urea+NUI",NA,NA,NA
"2015-01-01",2015,1,"P2","Urea",NA,0,NA
"2015-01-01",2015,1,"P3","UAN+NUI",NA,0,NA
"2015-01-01",2015,1,"P4","UAN",NA,0,NA
"2015-01-02",2015,2,"P1","Urea+NUI",NA,NA,NA
"2015-01-02",2015,2,"P2","Urea",NA,0,NA
"2015-01-02",2015,2,"P3","UAN+NUI",NA,0,NA
"2015-01-02",2015,2,"P4","UAN",NA,0,NA
"2015-01-03",2015,3,"P1","Urea+NUI",NA,NA,NA
"2015-01-03",2015,3,"P2","Urea",NA,0,NA
"2015-01-03",2015,3,"P3","UAN+NUI",NA,0,NA
"2015-01-03",2015,3,"P4","UAN",NA,0,NA
"2015-01-04",2015,4,"P1","Urea+NUI",NA,NA,NA
"2015-01-04",2015,4,"P2","Urea",NA,0,NA
"2015-01-04",2015,4,"P3","UAN+NUI",NA,0,NA
"2015-01-04",2015,4,"P4","UAN",NA,0,NA
"2015-01-05",2015,5,"P1","Urea+NUI",NA,NA,NA
"2015-01-05",2015,5,"P2","Urea",NA,0,NA
"2015-01-05",2015,5,"P3","UAN+NUI",NA,0,NA
"2015-01-05",2015,5,"P4","UAN",NA,0,NA
"2015-01-06",2015,6,"P1","Urea+NUI",NA,NA,NA
"2015-01-06",2015,6,"P2","Urea",NA,0,NA
"2015-01-06",2015,6,"P3","UAN+NUI",NA,0,NA
"2015-01-06",2015,6,"P4","UAN",NA,0,NA
"2015-01-07",2015,7,"P1","Urea+NUI",NA,NA,NA
"2015-01-07",2015,7,"P2","Urea",NA,0,NA
"2015-01-07",2015,7,"P3","UAN+NUI",NA,0,NA
"2015-01-07",2015,7,"P4","UAN",NA,0,NA
"2015-01-08",2015,8,"P1","Urea+NUI",NA,NA,NA
"2015-01-08",2015,8,"P2","Urea",NA,0,NA
"2015-01-08",2015,8,"P3","UAN+NUI",NA,0,NA
"2015-01-08",2015,8,"P4","UAN",NA,0,NA
"2015-01-09",2015,9,"P1","Urea+NUI",NA,NA,NA
"2015-01-09",2015,9,"P2","Urea",NA,0,NA
"2015-01-09",2015,9,"P3","UAN+NUI",NA,0,NA
"2015-01-09",2015,9,"P4","UAN",NA,0,NA
"2015-01-10",2015,10,"P1","Urea+NUI",NA,NA,NA
"2015-01-10",2015,10,"P2","Urea",NA,0,NA
"2015-01-10",2015,10,"P3","UAN+NUI",NA,0,NA
"2015-01-10",2015,10,"P4","UAN",NA,0,NA
"2015-01-11",2015,11,"P1","Urea+NUI",NA,NA,NA
"2015-01-11",2015,11,"P2","Urea",NA,0,NA
"2015-01-11",2015,11,"P3","UAN+NUI",NA,0,NA
"2015-01-11",2015,11,"P4","UAN",NA,0,NA
"2015-01-12",2015,12,"P1","Urea+NUI",NA,NA,NA
"2015-01-12",2015,12,"P2","Urea",NA,0,NA
"2015-01-12",2015,12,"P3","UAN+NUI",NA,0,NA
"2015-01-12",2015,12,"P4","UAN",NA,0,NA
"2015-01-13",2015,13,"P1","Urea+NUI",NA,NA,NA
"2015-01-13",2015,13,"P2","Urea",NA,0,NA
"2015-01-13",2015,13,"P3","UAN+NUI",NA,0,NA
"2015-01-13",2015,13,"P4","UAN",NA,0,NA
"2015-01-14",2015,14,"P1","Urea+NUI",NA,NA,NA
"2015-01-14",2015,14,"P2","Urea",NA,0,NA
"2015-01-14",2015,14,"P3","UAN+NUI",NA,0,NA
"2015-01-14",2015,14,"P4","UAN",NA,0,NA
"2015-01-15",2015,15,"P1","Urea+NUI",NA,NA,NA
"2015-01-15",2015,15,"P2","Urea",NA,0,NA
"2015-01-15",2015,15,"P3","UAN+NUI",NA,0,NA
"2015-01-15",2015,15,"P4","UAN",NA,0,NA
"2015-01-16",2015,16,"P1","Urea+NUI",NA,NA,NA
"2015-01-16",2015,16,"P2","Urea",NA,0,NA
"2015-01-16",2015,16,"P3","UAN+NUI",NA,0,NA
"2015-01-16",2015,16,"P4","UAN",NA,0,NA
"2015-01-17",2015,17,"P1","Urea+NUI",NA,NA,NA
"2015-01-17",2015,17,"P2","Urea",NA,0,NA
"2015-01-17",2015,17,"P3","UAN+NUI",NA,0,NA
"2015-01-17",2015,17,"P4","UAN",NA,0,NA
"2015-01-18",2015,18,"P1","Urea+NUI",NA,NA,NA
"2015-01-18",2015,18,"P2","Urea",NA,0,NA
"2015-01-18",2015,18,"P3","UAN+NUI",NA,0,NA
"2015-01-18",2015,18,"P4","UAN",NA,0,NA
"2015-01-19",2015,19,"P1","Urea+NUI",NA,NA,NA
"2015-01-19",2015,19,"P2","Urea",NA,0,NA
"2015-01-19",2015,19,"P3","UAN+NUI",NA,0,NA
"2015-01-19",2015,19,"P4","UAN",NA,0,NA
"2015-01-20",2015,20,"P1","Urea+NUI",NA,NA,NA
"2015-01-20",2015,20,"P2","Urea",NA,0,NA
"2015-01-20",2015,20,"P3","UAN+NUI",NA,0,NA
"2015-01-20",2015,20,"P4","UAN",NA,0,NA
"2015-01-21",2015,21,"P1","Urea+NUI",NA,NA,NA
"2015-01-21",2015,21,"P2","Urea",NA,0,NA
"2015-01-21",2015,21,"P3","UAN+NUI",NA,0,NA
"2015-01-21",2015,21,"P4","UAN",NA,0,NA
"2015-01-22",2015,22,"P1","Urea+NUI",NA,NA,NA
"2015-01-22",2015,22,"P2","Urea",NA,0,NA
"2015-01-22",2015,22,"P3","UAN+NUI",NA,0,NA
"2015-01-22",2015,22,"P4","UAN",NA,0,NA
"2015-01-23",2015,23,"P1","Urea+NUI",NA,NA,NA
"2015-01-23",2015,23,"P2","Urea",NA,0,NA
"2015-01-23",2015,23,"P3","UAN+NUI",NA,0,NA
"2015-01-23",2015,23,"P4","UAN",NA,0,NA
"2015-01-24",2015,24,"P1","Urea+NUI",NA,NA,NA
"2015-01-24",2015,24,"P2","Urea",NA,0,NA
"2015-01-24",2015,24,"P3","UAN+NUI",NA,0,NA
"2015-01-24",2015,24,"P4","UAN",NA,0,NA
"2015-01-25",2015,25,"P1","Urea+NUI",NA,NA,NA
"2015-01-25",2015,25,"P2","Urea",NA,0,NA
"2015-01-25",2015,25,"P3","UAN+NUI",NA,0,NA
"2015-01-25",2015,25,"P4","UAN",NA,0,NA
"2015-01-26",2015,26,"P1","Urea+NUI",NA,NA,NA
"2015-01-26",2015,26,"P2","Urea",NA,0,NA
"2015-01-26",2015,26,"P3","UAN+NUI",NA,0,NA
"2015-01-26",2015,26,"P4","UAN",NA,0,NA
"2015-01-27",2015,27,"P1","Urea+NUI",NA,NA,NA
"2015-01-27",2015,27,"P2","Urea",NA,0,NA
"2015-01-27",2015,27,"P3","UAN+NUI",NA,0,NA
"2015-01-27",2015,27,"P4","UAN",NA,0,NA
"2015-01-28",2015,28,"P1","Urea+NUI",NA,NA,NA
"2015-01-28",2015,28,"P2","Urea",NA,0,NA
"2015-01-28",2015,28,"P3","UAN+NUI",NA,0,NA
"2015-01-28",2015,28,"P4","UAN",NA,0,NA
"2015-01-29",2015,29,"P1","Urea+NUI",NA,NA,NA
"2015-01-29",2015,29,"P2","Urea",NA,0,NA
"2015-01-29",2015,29,"P3","UAN+NUI",NA,0,NA
"2015-01-29",2015,29,"P4","UAN",NA,0,NA
"2015-01-30",2015,30,"P1","Urea+NUI",NA,NA,NA
"2015-01-30",2015,30,"P2","Urea",NA,0,NA
"2015-01-30",2015,30,"P3","UAN+NUI",NA,0,NA
"2015-01-30",2015,30,"P4","UAN",NA,0,NA
"2015-01-31",2015,31,"P1","Urea+NUI",NA,NA,NA
"2015-01-31",2015,31,"P2","Urea",NA,0,NA
"2015-01-31",2015,31,"P3","UAN+NUI",NA,0,NA
"2015-01-31",2015,31,"P4","UAN",NA,0,NA
"2015-02-01",2015,32,"P1","Urea+NUI",NA,NA,NA
"2015-02-01",2015,32,"P2","Urea",NA,0,NA
"2015-02-01",2015,32,"P3","UAN+NUI",NA,0,NA
"2015-02-01",2015,32,"P4","UAN",NA,0,NA
"2015-02-02",2015,33,"P1","Urea+NUI",NA,NA,NA
"2015-02-02",2015,33,"P2","Urea",NA,0,NA
"2015-02-02",2015,33,"P3","UAN+NUI",NA,0,NA
"2015-02-02",2015,33,"P4","UAN",NA,0,NA
"2015-02-03",2015,34,"P1","Urea+NUI",NA,NA,NA
"2015-02-03",2015,34,"P2","Urea",NA,0,NA
"2015-02-03",2015,34,"P3","UAN+NUI",NA,0,NA
"2015-02-03",2015,34,"P4","UAN",NA,0,NA
"2015-02-04",2015,35,"P1","Urea+NUI",NA,NA,NA
"2015-02-04",2015,35,"P2","Urea",NA,0,NA
"2015-02-04",2015,35,"P3","UAN+NUI",NA,0,NA
"2015-02-04",2015,35,"P4","UAN",NA,0,NA
"2015-02-05",2015,36,"P1","Urea+NUI",NA,NA,NA
"2015-02-05",2015,36,"P2","Urea",NA,0,NA
"2015-02-05",2015,36,"P3","UAN+NUI",NA,0,NA
"2015-02-05",2015,36,"P4","UAN",NA,0,NA
"2015-02-06",2015,37,"P1","Urea+NUI",NA,NA,NA
"2015-02-06",2015,37,"P2","Urea",NA,0,NA
"2015-02-06",2015,37,"P3","UAN+NUI",NA,0,NA
"2015-02-06",2015,37,"P4","UAN",NA,0,NA
"2015-02-07",2015,38,"P1","Urea+NUI",NA,NA,NA
"2015-02-07",2015,38,"P2","Urea",NA,0,NA
"2015-02-07",2015,38,"P3","UAN+NUI",NA,0,NA
"2015-02-07",2015,38,"P4","UAN",NA,0,NA
"2015-02-08",2015,39,"P1","Urea+NUI",NA,NA,NA
"2015-02-08",2015,39,"P2","Urea",NA,0,NA
"2015-02-08",2015,39,"P3","UAN+NUI",NA,0,NA
"2015-02-08",2015,39,"P4","UAN",NA,0,NA
"2015-02-09",2015,40,"P1","Urea+NUI",NA,NA,NA
"2015-02-09",2015,40,"P2","Urea",NA,0,NA
"2015-02-09",2015,40,"P3","UAN+NUI",NA,0,NA
"2015-02-09",2015,40,"P4","UAN",NA,0,NA
"2015-02-10",2015,41,"P1","Urea+NUI",NA,NA,NA
"2015-02-10",2015,41,"P2","Urea",NA,0,NA
"2015-02-10",2015,41,"P3","UAN+NUI",NA,0,NA
"2015-02-10",2015,41,"P4","UAN",NA,0,NA
"2015-02-11",2015,42,"P1","Urea+NUI",NA,NA,NA
"2015-02-11",2015,42,"P2","Urea",NA,0,NA
"2015-02-11",2015,42,"P3","UAN+NUI",NA,0,NA
"2015-02-11",2015,42,"P4","UAN",NA,0,NA
"2015-02-12",2015,43,"P1","Urea+NUI",NA,NA,NA
"2015-02-12",2015,43,"P2","Urea",NA,0,NA
"2015-02-12",2015,43,"P3","UAN+NUI",NA,0,NA
"2015-02-12",2015,43,"P4","UAN",NA,0,NA
"2015-02-13",2015,44,"P1","Urea+NUI",NA,NA,NA
"2015-02-13",2015,44,"P2","Urea",NA,0,NA
"2015-02-13",2015,44,"P3","UAN+NUI",NA,0,NA
"2015-02-13",2015,44,"P4","UAN",NA,0,NA
"2015-02-14",2015,45,"P1","Urea+NUI",NA,NA,NA
"2015-02-14",2015,45,"P2","Urea",NA,0,NA
"2015-02-14",2015,45,"P3","UAN+NUI",NA,0,NA
"2015-02-14",2015,45,"P4","UAN",NA,0,NA
"2015-02-15",2015,46,"P1","Urea+NUI",NA,NA,NA
"2015-02-15",2015,46,"P2","Urea",NA,0,NA
"2015-02-15",2015,46,"P3","UAN+NUI",NA,0,NA
"2015-02-15",2015,46,"P4","UAN",NA,0,NA
"2015-02-16",2015,47,"P1","Urea+NUI",NA,NA,NA
"2015-02-16",2015,47,"P2","Urea",NA,0,NA
"2015-02-16",2015,47,"P3","UAN+NUI",NA,0,NA
"2015-02-16",2015,47,"P4","UAN",NA,0,NA
"2015-02-17",2015,48,"P1","Urea+NUI",NA,NA,NA
"2015-02-17",2015,48,"P2","Urea",NA,0,NA
"2015-02-17",2015,48,"P3","UAN+NUI",NA,0,NA
"2015-02-17",2015,48,"P4","UAN",NA,0,NA
"2015-02-18",2015,49,"P1","Urea+NUI",NA,NA,NA
"2015-02-18",2015,49,"P2","Urea",NA,0,NA
"2015-02-18",2015,49,"P3","UAN+NUI",NA,0,NA
"2015-02-18",2015,49,"P4","UAN",NA,0,NA
"2015-02-19",2015,50,"P1","Urea+NUI",NA,NA,NA
"2015-02-19",2015,50,"P2","Urea",NA,0,NA
"2015-02-19",2015,50,"P3","UAN+NUI",NA,0,NA
"2015-02-19",2015,50,"P4","UAN",NA,0,NA
"2015-02-20",2015,51,"P1","Urea+NUI",NA,NA,NA
"2015-02-20",2015,51,"P2","Urea",NA,0,NA
"2015-02-20",2015,51,"P3","UAN+NUI",NA,0,NA
"2015-02-20",2015,51,"P4","UAN",NA,0,NA
"2015-02-21",2015,52,"P1","Urea+NUI",NA,NA,NA
"2015-02-21",2015,52,"P2","Urea",NA,0,NA
"2015-02-21",2015,52,"P3","UAN+NUI",NA,0,NA
"2015-02-21",2015,52,"P4","UAN",NA,0,NA
"2015-02-22",2015,53,"P1","Urea+NUI",NA,NA,NA
"2015-02-22",2015,53,"P2","Urea",NA,0,NA
"2015-02-22",2015,53,"P3","UAN+NUI",NA,0,NA
"2015-02-22",2015,53,"P4","UAN",NA,0,NA
"2015-02-23",2015,54,"P1","Urea+NUI",NA,NA,NA
"2015-02-23",2015,54,"P2","Urea",NA,0,NA
"2015-02-23",2015,54,"P3","UAN+NUI",NA,0,NA
"2015-02-23",2015,54,"P4","UAN",NA,0,NA
"2015-02-24",2015,55,"P1","Urea+NUI",NA,NA,NA
"2015-02-24",2015,55,"P2","Urea",NA,0,NA
"2015-02-24",2015,55,"P3","UAN+NUI",NA,0,NA
"2015-02-24",2015,55,"P4","UAN",NA,0,NA
"2015-02-25",2015,56,"P1","Urea+NUI",NA,NA,NA
"2015-02-25",2015,56,"P2","Urea",NA,0,NA
"2015-02-25",2015,56,"P3","UAN+NUI",NA,0,NA
"2015-02-25",2015,56,"P4","UAN",NA,0,NA
"2015-02-26",2015,57,"P1","Urea+NUI",NA,NA,NA
"2015-02-26",2015,57,"P2","Urea",NA,0,NA
"2015-02-26",2015,57,"P3","UAN+NUI",NA,0,NA
"2015-02-26",2015,57,"P4","UAN",NA,0,NA
"2015-02-27",2015,58,"P1","Urea+NUI",NA,NA,NA
"2015-02-27",2015,58,"P2","Urea",NA,0,NA
"2015-02-27",2015,58,"P3","UAN+NUI",NA,0,NA
"2015-02-27",2015,58,"P4","UAN",NA,0,NA
"2015-02-28",2015,59,"P1","Urea+NUI",NA,NA,NA
"2015-02-28",2015,59,"P2","Urea",NA,0,NA
"2015-02-28",2015,59,"P3","UAN+NUI",NA,0,NA
"2015-02-28",2015,59,"P4","UAN",NA,0,NA
"2015-03-01",2015,60,"P1","Urea+NUI",NA,NA,NA
"2015-03-01",2015,60,"P2","Urea",NA,0,NA
"2015-03-01",2015,60,"P3","UAN+NUI",NA,0,NA
"2015-03-01",2015,60,"P4","UAN",NA,0,NA
"2015-03-02",2015,61,"P1","Urea+NUI",NA,NA,NA
"2015-03-02",2015,61,"P2","Urea",NA,0,NA
"2015-03-02",2015,61,"P3","UAN+NUI",NA,0,NA
"2015-03-02",2015,61,"P4","UAN",NA,0,NA
"2015-03-03",2015,62,"P1","Urea+NUI",NA,NA,NA
"2015-03-03",2015,62,"P2","Urea",NA,0,NA
"2015-03-03",2015,62,"P3","UAN+NUI",NA,0,NA
"2015-03-03",2015,62,"P4","UAN",NA,0,NA
"2015-03-04",2015,63,"P1","Urea+NUI",NA,NA,NA
"2015-03-04",2015,63,"P2","Urea",NA,0,NA
"2015-03-04",2015,63,"P3","UAN+NUI",NA,0,NA
"2015-03-04",2015,63,"P4","UAN",NA,0,NA
"2015-03-05",2015,64,"P1","Urea+NUI",NA,NA,NA
"2015-03-05",2015,64,"P2","Urea",NA,0,NA
"2015-03-05",2015,64,"P3","UAN+NUI",NA,0,NA
"2015-03-05",2015,64,"P4","UAN",NA,0,NA
"2015-03-06",2015,65,"P1","Urea+NUI",NA,NA,NA
"2015-03-06",2015,65,"P2","Urea",NA,0,NA
"2015-03-06",2015,65,"P3","UAN+NUI",NA,0,NA
