date,plot,rotation,t5,t25
1/1/2018,P1,Conventional,NA,NA
1/1/2018,P2,Conventional,NA,NA
1/1/2018,P3,Diverse,-3.629286713,0.041244755
1/1/2018,P4,Diverse,-3.511664336,0.156073427
1/2/2018,P1,Conventional,NA,NA
1/2/2018,P2,Conventional,NA,NA
1/2/2018,P3,Diverse,-2.707715278,-0.023697917
1/2/2018,P4,Diverse,-2.550503472,0.097180556
1/3/2018,P1,Conventional,NA,NA
1/3/2018,P2,Conventional,NA,NA
1/3/2018,P3,Diverse,-2.84671875,-0.121364583
1/3/2018,P4,Diverse,-3.135277778,-0.001267361
1/4/2018,P1,Conventional,NA,NA
1/4/2018,P2,Conventional,NA,NA
1/4/2018,P3,Diverse,-2.8305625,-0.228684028
1/4/2018,P4,Diverse,-3.262128472,-0.089857639
1/5/2018,P1,Conventional,NA,NA
1/5/2018,P2,Conventional,NA,NA
1/5/2018,P3,Diverse,-4.371496528,-0.462579861
1/5/2018,P4,Diverse,-4.796861111,-0.290045139
1/6/2018,P1,Conventional,NA,NA
1/6/2018,P2,Conventional,NA,NA
1/6/2018,P3,Diverse,-4.937475694,-0.715059028
1/6/2018,P4,Diverse,-5.582197917,-0.483288194
1/7/2018,P1,Conventional,NA,NA
1/7/2018,P2,Conventional,NA,NA
1/7/2018,P3,Diverse,-4.402944444,-0.881809028
1/7/2018,P4,Diverse,-5.007506944,-0.613704861
1/8/2018,P1,Conventional,NA,NA
1/8/2018,P2,Conventional,NA,NA
1/8/2018,P3,Diverse,-1.996763889,-0.579072917
1/8/2018,P4,Diverse,-2.318024306,-0.409902778
1/9/2018,P1,Conventional,NA,NA
1/9/2018,P2,Conventional,NA,NA
1/9/2018,P3,Diverse,-1.174756944,-0.39403125
1/9/2018,P4,Diverse,-1.410180556,-0.283340278
1/10/2018,P1,Conventional,NA,NA
1/10/2018,P2,Conventional,NA,NA
1/10/2018,P3,Diverse,-1.339628472,-0.359979167
1/10/2018,P4,Diverse,-1.467184028,-0.259590278
1/11/2018,P1,Conventional,NA,NA
1/11/2018,P2,Conventional,NA,NA
1/11/2018,P3,Diverse,-0.236256944,-0.157857639
1/11/2018,P4,Diverse,-0.276454861,-0.071243056
1/12/2018,P1,Conventional,NA,NA
1/12/2018,P2,Conventional,NA,NA
1/12/2018,P3,Diverse,NA,NA
1/12/2018,P4,Diverse,NA,NA
1/13/2018,P1,Conventional,NA,NA
1/13/2018,P2,Conventional,NA,NA
1/13/2018,P3,Diverse,NA,NA
1/13/2018,P4,Diverse,NA,NA
1/14/2018,P1,Conventional,NA,NA
1/14/2018,P2,Conventional,NA,NA
1/14/2018,P3,Diverse,-3.119194444,-0.244697917
1/14/2018,P4,Diverse,-3.628354167,-0.1755625
1/15/2018,P1,Conventional,NA,NA
1/15/2018,P2,Conventional,NA,NA
1/15/2018,P3,Diverse,-3.873791667,-0.335746528
1/15/2018,P4,Diverse,-4.235229167,-0.191256944
1/16/2018,P1,Conventional,NA,NA
1/16/2018,P2,Conventional,NA,NA
1/16/2018,P3,Diverse,-1.977364583,-0.513954861
1/16/2018,P4,Diverse,-2.237951389,-0.324329861
1/17/2018,P1,Conventional,NA,NA
1/17/2018,P2,Conventional,NA,NA
1/17/2018,P3,Diverse,NA,NA
1/17/2018,P4,Diverse,NA,NA
1/18/2018,P1,Conventional,NA,NA
1/18/2018,P2,Conventional,NA,NA
1/18/2018,P3,Diverse,-2.77296875,-0.659645833
1/18/2018,P4,Diverse,-2.845215278,-0.554809028
1/19/2018,P1,Conventional,NA,NA
1/19/2018,P2,Conventional,NA,NA
1/19/2018,P3,Diverse,-1.9555,-0.592211806
1/19/2018,P4,Diverse,-2.115597222,-0.533659722
1/20/2018,P1,Conventional,-0.907836806,-0.352017361
1/20/2018,P2,Conventional,-1.077954861,-0.543902778
1/20/2018,P3,Diverse,-0.885236111,-0.361395833
1/20/2018,P4,Diverse,-0.923461806,-0.337006944
1/21/2018,P1,Conventional,-0.578267361,-0.288642361
1/21/2018,P2,Conventional,-0.828972222,-0.527010417
1/21/2018,P3,Diverse,-0.602420139,-0.270947917
1/21/2018,P4,Diverse,-0.633690972,-0.237083333
1/22/2018,P1,Conventional,-0.435572917,-0.236208333
1/22/2018,P2,Conventional,-0.461895833,-0.454173611
1/22/2018,P3,Diverse,-0.165347222,-0.162375
1/22/2018,P4,Diverse,-0.218965278,-0.143690972
1/23/2018,P1,Conventional,-0.400131944,-0.226836806
1/23/2018,P2,Conventional,-0.395701389,-0.41521875
1/23/2018,P3,Diverse,-0.072444444,-0.112270833
1/23/2018,P4,Diverse,-0.118788194,-0.109166667
1/24/2018,P1,Conventional,-0.7921875,-0.241201389
1/24/2018,P2,Conventional,-0.890111111,-0.472711806
1/24/2018,P3,Diverse,-0.64003125,-0.212097222
1/24/2018,P4,Diverse,-0.475298611,-0.175229167
1/25/2018,P1,Conventional,-2.234822917,-0.2013125
1/25/2018,P2,Conventional,-2.66659375,-0.531197917
1/25/2018,P3,Diverse,-2.490006944,-0.250690972
1/25/2018,P4,Diverse,-2.403326389,-0.193038194
1/26/2018,P1,Conventional,-1.375149306,-0.108795139
1/26/2018,P2,Conventional,-1.762388889,-0.568934028
1/26/2018,P3,Diverse,-1.53103125,-0.218333333
1/26/2018,P4,Diverse,-1.539194444,-0.148180556
1/27/2018,P1,Conventional,-0.476461806,-0.050805556
1/27/2018,P2,Conventional,-0.556506944,-0.439069444
1/27/2018,P3,Diverse,-0.254232639,-0.105565972
1/27/2018,P4,Diverse,-0.30353125,-0.070072917
1/28/2018,P1,Conventional,-0.435607639,-0.07375
1/28/2018,P2,Conventional,-0.509097222,-0.435163194
1/28/2018,P3,Diverse,-0.1841875,-0.125913194
1/28/2018,P4,Diverse,-0.216180556,-0.089513889
1/29/2018,P1,Conventional,-0.774861111,-0.134270833
1/29/2018,P2,Conventional,-1.117354167,-0.323704861
1/29/2018,P3,Diverse,NA,NA
1/29/2018,P4,Diverse,NA,NA
1/30/2018,P1,Conventional,-0.9610625,-0.281243056
1/30/2018,P2,Conventional,-1.314277778,-0.215916667
1/30/2018,P3,Diverse,NA,NA
1/30/2018,P4,Diverse,NA,NA
1/31/2018,P1,Conventional,-1.242690972,-0.228458333
1/31/2018,P2,Conventional,-1.698927083,-0.166263889
1/31/2018,P3,Diverse,NA,NA
1/31/2018,P4,Diverse,NA,NA
2/1/2018,P1,Conventional,-1.041190972,-0.171315972
2/1/2018,P2,Conventional,-1.285847222,-0.112291667
2/1/2018,P3,Diverse,NA,NA
2/1/2018,P4,Diverse,NA,NA
2/2/2018,P1,Conventional,-2.422038194,-0.354170139
2/2/2018,P2,Conventional,-2.709291667,-0.234048611
2/2/2018,P3,Diverse,NA,NA
2/2/2018,P4,Diverse,NA,NA
2/3/2018,P1,Conventional,-2.267260417,-0.463631944
2/3/2018,P2,Conventional,-2.503086806,-0.255329861
2/3/2018,P3,Diverse,NA,NA
2/3/2018,P4,Diverse,NA,NA
2/4/2018,P1,Conventional,-1.177048611,-0.372277778
2/4/2018,P2,Conventional,-1.328378472,-0.20721875
2/4/2018,P3,Diverse,NA,NA
2/4/2018,P4,Diverse,NA,NA
2/5/2018,P1,Conventional,-1.410347222,-0.440631944
2/5/2018,P2,Conventional,-1.667621528,-0.308118056
2/5/2018,P3,Diverse,NA,NA
2/5/2018,P4,Diverse,NA,NA
2/6/2018,P1,Conventional,-1.836701389,-0.461788194
2/6/2018,P2,Conventional,-1.764298611,-0.323524306
2/6/2018,P3,Diverse,NA,NA
2/6/2018,P4,Diverse,NA,NA
2/7/2018,P1,Conventional,-1.893638889,-0.525097222
2/7/2018,P2,Conventional,-1.852045139,-0.354836806
2/7/2018,P3,Diverse,NA,NA
2/7/2018,P4,Diverse,NA,NA
2/8/2018,P1,Conventional,-1.587152778,-0.56815625
2/8/2018,P2,Conventional,-1.667972222,-0.391954861
2/8/2018,P3,Diverse,NA,NA
2/8/2018,P4,Diverse,NA,NA
2/9/2018,P1,Conventional,-1.417350694,-0.53346875
2/9/2018,P2,Conventional,-1.513079861,-0.367520833
2/9/2018,P3,Diverse,NA,NA
2/9/2018,P4,Diverse,NA,NA
2/10/2018,P1,Conventional,-1.018565972,-0.414065972
2/10/2018,P2,Conventional,-1.123284722,-0.293479167
2/10/2018,P3,Diverse,NA,NA
2/10/2018,P4,Diverse,NA,NA
2/11/2018,P1,Conventional,-0.816065972,-0.337357639
2/11/2018,P2,Conventional,-0.902180556,-0.244204861
2/11/2018,P3,Diverse,NA,NA
2/11/2018,P4,Diverse,NA,NA
2/12/2018,P1,Conventional,-0.818083333,-0.358517361
2/12/2018,P2,Conventional,-0.893451389,-0.259822917
2/12/2018,P3,Diverse,NA,NA
2/12/2018,P4,Diverse,NA,NA
2/13/2018,P1,Conventional,-1.147579861,-0.369461806
2/13/2018,P2,Conventional,-1.318552083,-0.445864583
2/13/2018,P3,Diverse,NA,NA
2/13/2018,P4,Diverse,NA,NA
2/14/2018,P1,Conventional,-0.840986111,-0.146319444
2/14/2018,P2,Conventional,-1.115100694,-0.553892361
2/14/2018,P3,Diverse,-0.826815972,-0.264336806
2/14/2018,P4,Diverse,-0.952420139,-0.170690972
2/15/2018,P1,Conventional,-0.565114583,-0.09765625
2/15/2018,P2,Conventional,-0.73009375,-0.470559028
2/15/2018,P3,Diverse,-0.449715278,-0.169628472
2/15/2018,P4,Diverse,-0.485284722,-0.11103125
2/16/2018,P1,Conventional,-0.530711806,-0.140333333
2/16/2018,P2,Conventional,-0.55628125,-0.483815972
2/16/2018,P3,Diverse,-0.340020833,-0.216399306
2/16/2018,P4,Diverse,-0.306111111,-0.1561875
2/17/2018,P1,Conventional,-0.760979167,-0.182444444
2/17/2018,P2,Conventional,-1.009333333,-0.512104167
2/17/2018,P3,Diverse,-1.082315972,-0.258729167
2/17/2018,P4,Diverse,-1.021944444,-0.194569444
2/18/2018,P1,Conventional,-0.636430556,-0.112229167
2/18/2018,P2,Conventional,-0.948885417,-0.435854167
2/18/2018,P3,Diverse,-0.706125,-0.174465278
