date,plot,rotation,wfps_5,wfps_25
1/1/2018,P1,Conventional,NA,NA
1/1/2018,P2,Conventional,NA,NA
1/1/2018,P3,Diverse,4.082065492,52.49771821
1/1/2018,P4,Diverse,4.40415113,54.70778471
1/2/2018,P1,Conventional,NA,NA
1/2/2018,P2,Conventional,NA,NA
1/2/2018,P3,Diverse,3.762296474,51.18155388
1/2/2018,P4,Diverse,4.517708013,50.16949485
1/3/2018,P1,Conventional,NA,NA
1/3/2018,P2,Conventional,NA,NA
1/3/2018,P3,Diverse,3.612417975,50.0248898
1/3/2018,P4,Diverse,4.399315572,47.22682746
1/4/2018,P1,Conventional,NA,NA
1/4/2018,P2,Conventional,NA,NA
1/4/2018,P3,Diverse,3.539327457,48.80127863
1/4/2018,P4,Diverse,4.381203045,45.21951941
1/5/2018,P1,Conventional,NA,NA
1/5/2018,P2,Conventional,NA,NA
1/5/2018,P3,Diverse,3.113013248,47.12464811
1/5/2018,P4,Diverse,3.995165037,42.70156799
1/6/2018,P1,Conventional,NA,NA
1/6/2018,P2,Conventional,NA,NA
1/6/2018,P3,Diverse,2.870163702,42.91578217
1/6/2018,P4,Diverse,3.705052885,38.88422241
1/7/2018,P1,Conventional,NA,NA
1/7/2018,P2,Conventional,NA,NA
1/7/2018,P3,Diverse,2.85204375,37.04327715
1/7/2018,P4,Diverse,3.670212313,34.80085088
1/8/2018,P1,Conventional,NA,NA
1/8/2018,P2,Conventional,NA,NA
1/8/2018,P3,Diverse,3.283222142,34.21782213
1/8/2018,P4,Diverse,4.125065011,32.79119602
1/9/2018,P1,Conventional,NA,NA
1/9/2018,P2,Conventional,NA,NA
1/9/2018,P3,Diverse,3.652817788,34.53332667
1/9/2018,P4,Diverse,4.555402431,33.58139871
1/10/2018,P1,Conventional,NA,NA
1/10/2018,P2,Conventional,NA,NA
1/10/2018,P3,Diverse,3.705278446,35.50226881
1/10/2018,P4,Diverse,4.597507131,34.71702806
1/11/2018,P1,Conventional,NA,NA
1/11/2018,P2,Conventional,NA,NA
1/11/2018,P3,Diverse,17.49062508,39.83376193
1/11/2018,P4,Diverse,13.4244945,41.62810429
1/12/2018,P1,Conventional,NA,NA
1/12/2018,P2,Conventional,NA,NA
1/12/2018,P3,Diverse,NA,NA
1/12/2018,P4,Diverse,NA,NA
1/13/2018,P1,Conventional,NA,NA
1/13/2018,P2,Conventional,NA,NA
1/13/2018,P3,Diverse,NA,NA
1/13/2018,P4,Diverse,NA,NA
1/14/2018,P1,Conventional,NA,NA
1/14/2018,P2,Conventional,NA,NA
1/14/2018,P3,Diverse,6.641326362,51.61996241
1/14/2018,P4,Diverse,7.631507238,51.11378848
1/15/2018,P1,Conventional,NA,NA
1/15/2018,P2,Conventional,NA,NA
1/15/2018,P3,Diverse,5.146650374,45.22558355
1/15/2018,P4,Diverse,5.670598985,44.63167298
1/16/2018,P1,Conventional,NA,NA
1/16/2018,P2,Conventional,NA,NA
1/16/2018,P3,Diverse,5.633305288,37.27850786
1/16/2018,P4,Diverse,6.106624599,37.62343479
1/17/2018,P1,Conventional,NA,NA
1/17/2018,P2,Conventional,NA,NA
1/17/2018,P3,Diverse,NA,NA
1/17/2018,P4,Diverse,NA,NA
1/18/2018,P1,Conventional,NA,NA
1/18/2018,P2,Conventional,NA,NA
1/18/2018,P3,Diverse,5.354057131,32.42591095
1/18/2018,P4,Diverse,5.913753552,30.93465492
1/19/2018,P1,Conventional,NA,NA
1/19/2018,P2,Conventional,NA,NA
1/19/2018,P3,Diverse,5.617840011,30.10286998
1/19/2018,P4,Diverse,6.095906731,28.18270556
1/20/2018,P1,Conventional,8.815601549,38.29345704
1/20/2018,P2,Conventional,8.093062821,32.51032393
1/20/2018,P3,Diverse,6.859855475,29.80737052
1/20/2018,P4,Diverse,7.685444551,28.06285546
1/21/2018,P1,Conventional,11.48024428,45.50155215
1/21/2018,P2,Conventional,10.25070417,36.55929527
1/21/2018,P3,Diverse,7.385683841,31.06526604
1/21/2018,P4,Diverse,8.516134535,29.64927888
1/22/2018,P1,Conventional,12.89320748,51.47248778
1/22/2018,P2,Conventional,12.05659573,39.53491402
1/22/2018,P3,Diverse,16.360934,35.13739732
1/22/2018,P4,Diverse,12.99060999,35.20905313
1/23/2018,P1,Conventional,17.00727655,63.55391001
1/23/2018,P2,Conventional,13.58931047,46.61975808
1/23/2018,P3,Diverse,28.9208324,45.21932213
1/23/2018,P4,Diverse,20.58429022,41.02491746
1/24/2018,P1,Conventional,16.87764046,61.20597715
1/24/2018,P2,Conventional,13.18139049,47.1996
1/24/2018,P3,Diverse,16.27019135,42.84543103
1/24/2018,P4,Diverse,14.19738539,43.32725013
1/25/2018,P1,Conventional,11.74703801,59.39671405
1/25/2018,P2,Conventional,8.927707051,49.28867882
1/25/2018,P3,Diverse,7.576732505,43.25245129
1/25/2018,P4,Diverse,8.403056197,43.5935447
1/26/2018,P1,Conventional,10.96686918,56.21345672
1/26/2018,P2,Conventional,8.920948504,48.10224189
1/26/2018,P3,Diverse,8.026667094,39.40201932
1/26/2018,P4,Diverse,8.065906384,40.30600088
1/27/2018,P1,Conventional,12.43069068,55.68762055
1/27/2018,P2,Conventional,10.66917842,47.48404252
1/27/2018,P3,Diverse,12.40997262,39.02574242
1/27/2018,P4,Diverse,9.601229968,39.90976256
1/28/2018,P1,Conventional,13.72537543,57.06419577
1/28/2018,P2,Conventional,11.79644786,48.77571935
1/28/2018,P3,Diverse,11.33902439,40.95832247
1/28/2018,P4,Diverse,10.51033341,41.83108665
1/29/2018,P1,Conventional,12.06663843,51.93893412
1/29/2018,P2,Conventional,10.33154071,47.23418311
1/29/2018,P3,Diverse,NA,NA
1/29/2018,P4,Diverse,NA,NA
1/30/2018,P1,Conventional,8.924043376,43.41715818
1/30/2018,P2,Conventional,8.465808654,44.19726676
1/30/2018,P3,Diverse,NA,NA
1/30/2018,P4,Diverse,NA,NA
1/31/2018,P1,Conventional,8.430695887,42.86108753
1/31/2018,P2,Conventional,7.927080342,43.23243946
1/31/2018,P3,Diverse,NA,NA
1/31/2018,P4,Diverse,NA,NA
2/1/2018,P1,Conventional,8.456244605,41.46735941
2/1/2018,P2,Conventional,8.043411004,42.38017159
2/1/2018,P3,Diverse,NA,NA
2/1/2018,P4,Diverse,NA,NA
2/2/2018,P1,Conventional,7.492548985,39.69622093
2/2/2018,P2,Conventional,7.407636966,41.07251727
2/2/2018,P3,Diverse,NA,NA
2/2/2018,P4,Diverse,NA,NA
2/3/2018,P1,Conventional,7.311822863,34.96513381
2/3/2018,P2,Conventional,7.29818109,38.46565142
2/3/2018,P3,Diverse,NA,NA
2/3/2018,P4,Diverse,NA,NA
2/4/2018,P1,Conventional,7.824075721,32.83283501
2/4/2018,P2,Conventional,7.637230876,37.35235824
2/4/2018,P3,Diverse,NA,NA
2/4/2018,P4,Diverse,NA,NA
2/5/2018,P1,Conventional,7.895360978,32.80960625
2/5/2018,P2,Conventional,7.643655021,37.28292314
2/5/2018,P3,Diverse,NA,NA
2/5/2018,P4,Diverse,NA,NA
2/6/2018,P1,Conventional,7.625356624,32.17881641
2/6/2018,P2,Conventional,7.498389637,36.30669154
2/6/2018,P3,Diverse,NA,NA
2/6/2018,P4,Diverse,NA,NA
2/7/2018,P1,Conventional,7.544226095,30.85567229
2/7/2018,P2,Conventional,7.35087735,34.73999375
2/7/2018,P3,Diverse,NA,NA
2/7/2018,P4,Diverse,NA,NA
2/8/2018,P1,Conventional,7.658664984,29.66203943
2/8/2018,P2,Conventional,7.452126816,33.43586272
2/8/2018,P3,Diverse,NA,NA
2/8/2018,P4,Diverse,NA,NA
2/9/2018,P1,Conventional,7.72245227,28.47877844
2/9/2018,P2,Conventional,7.461285043,32.4328654
2/9/2018,P3,Diverse,NA,NA
2/9/2018,P4,Diverse,NA,NA
2/10/2018,P1,Conventional,7.966294738,28.13504899
2/10/2018,P2,Conventional,7.656286538,32.15358112
2/10/2018,P3,Diverse,NA,NA
2/10/2018,P4,Diverse,NA,NA
2/11/2018,P1,Conventional,8.186810657,28.34019312
2/11/2018,P2,Conventional,7.866340278,32.57857418
2/11/2018,P3,Diverse,NA,NA
2/11/2018,P4,Diverse,NA,NA
2/12/2018,P1,Conventional,8.301306944,28.86442847
2/12/2018,P2,Conventional,8.019619872,33.3474464
2/12/2018,P3,Diverse,NA,NA
2/12/2018,P4,Diverse,NA,NA
2/13/2018,P1,Conventional,9.2488336,38.82094258
2/13/2018,P2,Conventional,8.250257906,35.31470202
2/13/2018,P3,Diverse,NA,NA
2/13/2018,P4,Diverse,NA,NA
2/14/2018,P1,Conventional,11.23164826,54.79967008
2/14/2018,P2,Conventional,9.07273985,37.57597595
2/14/2018,P3,Diverse,8.2087711,29.06896673
2/14/2018,P4,Diverse,8.048382612,34.12050489
2/15/2018,P1,Conventional,11.64620334,55.06837412
2/15/2018,P2,Conventional,9.532443162,37.86103251
2/15/2018,P3,Diverse,9.921949679,29.44278336
2/15/2018,P4,Diverse,8.609146875,34.69293649
2/16/2018,P1,Conventional,12.43811274,55.85628049
2/16/2018,P2,Conventional,10.53604455,38.87566187
2/16/2018,P3,Diverse,10.62985219,30.5995547
2/16/2018,P4,Diverse,9.559255849,35.99205306
2/17/2018,P1,Conventional,12.72871958,56.65871916
2/17/2018,P2,Conventional,9.88419391,40.37345423
2/17/2018,P3,Diverse,8.660594685,32.1253304
2/17/2018,P4,Diverse,8.855208761,38.10420537
2/18/2018,P1,Conventional,12.84664332,57.25090972
2/18/2018,P2,Conventional,9.526401816,41.29448759
2/18/2018,P3,Diverse,8.919522837,32.89545287
2/18/2018,P4,Diverse,8.728811672,39.44768412
2/19/2018,P1,Conventional,13.06630507,57.6482774
2/19/2018,P2,Conventional,9.560780556,42.12684855
2/19/2018,P3,Diverse,9.370123184,33.82654085
2/19/2018,P4,Diverse,8.858927698,40.49705189
2/20/2018,P1,Conventional,13.6402351,58.64547727
2/20/2018,P2,Conventional,10.62355726,43.21129766
2/20/2018,P3,Diverse,15.76150166,35.05409378
2/20/2018,P4,Diverse,10.3614183,41.123759
