Annual water budget for site: p1_conv_new
Year,Initial water pools (mm),,,,,Input (mm/yr),,,Output (mm/yr),,,,,,,End water pools (mm)
,Soil,Snow,Leaf,Pond,Deep,Precipitation,Irrigation,Interception,Snow evap,Leaf evap,Pond evap,Soil evap,Tranpiration,Leaching,Runoff,Soil,Snow,Leaf,Pond,Deep
  1,595.9,  0.0,  0.0,  0.0,  0.0,711.7, 11.1, 14.2, 19.4, 14.2,  4.9,293.3,191.4,  0.0, 26.3,752.8, 14.2,  0.0,  0.0,  0.0
  2,752.8, 14.2,  0.0,  0.0,  0.0,1152.8,  8.1, 17.0, 30.7, 17.0, 24.5,308.8,165.5,416.1,117.8,807.5, 43.7,  0.0,  0.0,  0.0
  3,807.5, 43.7,  0.0,  0.0,  0.0,876.0,  3.3, 19.6, 15.7, 19.6, 59.0,187.6,115.4,346.3,149.2,835.4,  1.6,  0.0,  0.0,  0.0
  4,835.4,  1.6,  0.0,  0.0,  0.0,927.7,  0.0, 20.1, 25.4, 20.1, 38.9,256.3,185.2,288.6,109.0,843.3,  0.0,  0.0,  0.0,  0.0
  5,843.3,  0.0,  0.0,  0.0,  0.0,960.5,  0.0, 26.7, 26.0, 26.7, 12.5,221.2,210.5,335.2,107.6,856.6,  8.5,  0.0,  0.0,  0.0
  6,856.6,  8.5,  0.0,  0.0,  0.0,1063.6,  0.0, 23.5, 22.6, 23.5, 13.0,234.4,171.4,471.8,113.9,836.4, 42.1,  0.0,  0.0,  0.0
  7,836.4, 42.1,  0.0,  0.0,  0.0,906.0,  0.0, 13.1, 25.4, 13.1, 25.4,165.8,153.0,267.5,242.9,861.8, 15.2,  0.0,  0.0,  0.0
  8,861.8, 15.2,  0.0,  0.0,  0.0,1026.1,  0.0, 15.7, 24.8, 15.7, 56.2,170.6,219.4,390.6,178.2,842.8,  1.2,  0.0,  0.0,  0.0
  9,842.8,  1.2,  0.0,  0.0,  0.0,773.3,  0.0, 11.9, 22.4, 11.9, 19.7,184.3,242.9,242.1, 56.8,812.6, 24.9,  0.0,  0.0,  0.0
 10,812.6, 24.9,  0.0,  0.0,  0.0,718.7,  0.0, 15.6, 17.8, 15.6,  7.4,271.7,196.7,191.8, 56.3,797.6,  1.9,  0.0,  0.0,  0.0
 11,797.6,  1.9,  0.0,  0.0,  0.0,844.8,  0.0, 14.0, 29.5, 14.0, 23.8,144.6,276.6,201.7,108.3,840.1,  0.0,  0.0,  0.0,  0.0
